0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,2
0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,2
-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,2
-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,2
-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,2
-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,2
-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,2
-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,-0.500,0.000,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,2
-0.500,0.000,0.000,0.000,0.000,-0.500,-0.500,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.500,0.000,2.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
1.000,0.500,0.000,2.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,-0.500,-0.500,-0.500,0.000,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,2
