gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1990020001,/api/v1/game/1990020001/feed/live,R,19901991,1990-10-04T16:00:00Z,1,0,1,0,4,Philadelphia Flyers,/api/v1/teams/4,4,1,0,0,6,Boston Bruins,/api/v1/teams/6
1990020002,/api/v1/game/1990020002/feed/live,R,19901991,1990-10-04T16:00:00Z,3,0,0,1,32,Quebec Nordiques,/api/v1/teams/32,3,0,0,1,34,Hartford Whalers,/api/v1/teams/34
1990020003,/api/v1/game/1990020003/feed/live,R,19901991,1990-10-04T16:00:00Z,3,0,0,1,8,Montréal Canadiens,/api/v1/teams/8,3,0,0,1,7,Buffalo Sabres,/api/v1/teams/7
1990020004,/api/v1/game/1990020004/feed/live,R,19901991,1990-10-04T16:00:00Z,1,0,1,0,2,New York Islanders,/api/v1/teams/2,4,1,0,0,26,Los Angeles Kings,/api/v1/teams/26
1990020005,/api/v1/game/1990020005/feed/live,R,19901991,1990-10-04T16:00:00Z,3,0,1,0,3,New York Rangers,/api/v1/teams/3,4,1,0,0,16,Chicago Blackhawks,/api/v1/teams/16
1990020006,/api/v1/game/1990020006/feed/live,R,19901991,1990-10-04T16:00:00Z,3,0,0,1,17,Detroit Red Wings,/api/v1/teams/17,3,0,0,1,1,New Jersey Devils,/api/v1/teams/1
1990020007,/api/v1/game/1990020007/feed/live,R,19901991,1990-10-04T16:00:00Z,1,0,1,0,10,Toronto Maple Leafs,/api/v1/teams/10,7,1,0,0,33,Winnipeg Jets (1979),/api/v1/teams/33
1990020008,/api/v1/game/1990020008/feed/live,R,19901991,1990-10-04T16:00:00Z,3,1,0,0,19,St. Louis Blues,/api/v1/teams/19,2,0,1,0,31,Minnesota North Stars,/api/v1/teams/31
1990020009,/api/v1/game/1990020009/feed/live,R,19901991,1990-10-04T16:00:00Z,2,0,1,0,23,Vancouver Canucks,/api/v1/teams/23,3,1,0,0,20,Calgary Flames,/api/v1/teams/20
1990020010,/api/v1/game/1990020010/feed/live,R,19901991,1990-10-05T16:00:00Z,7,1,0,0,5,Pittsburgh Penguins,/api/v1/teams/5,4,0,1,0,15,Washington Capitals,/api/v1/teams/15
