gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
2005020001,/api/v1/game/2005020001/feed/live,R,20052006,2005-10-05T23:00:00Z,2,1,0,,8,Montréal Canadiens,/api/v1/teams/8,1,0,1,,6,Boston Bruins,/api/v1/teams/6
2005020002,/api/v1/game/2005020002/feed/live,R,20052006,2005-10-05T23:00:00Z,4,0,1,,2,New York Islanders,/api/v1/teams/2,6,1,0,,7,Buffalo Sabres,/api/v1/teams/7
2005020003,/api/v1/game/2005020003/feed/live,R,20052006,2005-10-05T23:00:00Z,5,1,0,,3,New York Rangers,/api/v1/teams/3,3,0,1,,4,Philadelphia Flyers,/api/v1/teams/4
2005020004,/api/v1/game/2005020004/feed/live,R,20052006,2005-10-05T23:00:00Z,2,0,1,,29,Columbus Blue Jackets,/api/v1/teams/29,3,1,0,,15,Washington Capitals,/api/v1/teams/15
2005020005,/api/v1/game/2005020005/feed/live,R,20052006,2005-10-05T23:00:00Z,0,0,1,,11,Atlanta Thrashers,/api/v1/teams/11,2,1,0,,13,Florida Panthers,/api/v1/teams/13
2005020007,/api/v1/game/2005020007/feed/live,R,20052006,2005-10-05T23:30:00Z,1,0,1,,5,Pittsburgh Penguins,/api/v1/teams/5,5,1,0,,1,New Jersey Devils,/api/v1/teams/1
2005020008,/api/v1/game/2005020008/feed/live,R,20052006,2005-10-05T23:30:00Z,2,0,1,,12,Carolina Hurricanes,/api/v1/teams/12,5,1,0,,14,Tampa Bay Lightning,/api/v1/teams/14
2005020009,/api/v1/game/2005020009/feed/live,R,20052006,2005-10-05T23:30:00Z,1,0,1,,19,St. Louis Blues,/api/v1/teams/19,5,1,0,,17,Detroit Red Wings,/api/v1/teams/17
2005020010,/api/v1/game/2005020010/feed/live,R,20052006,2005-10-06T00:00:00Z,2,0,1,,28,San Jose Sharks,/api/v1/teams/28,3,1,0,,18,Nashville Predators,/api/v1/teams/18
2005020012,/api/v1/game/2005020012/feed/live,R,20052006,2005-10-06T00:00:00Z,3,0,1,,20,Calgary Flames,/api/v1/teams/20,6,1,0,,30,Minnesota Wild,/api/v1/teams/30
2005020006,/api/v1/game/2005020006/feed/live,R,20052006,2005-10-06T00:00:00Z,3,1,0,,9,Ottawa Senators,/api/v1/teams/9,2,0,0,,10,Toronto Maple Leafs,/api/v1/teams/10
