gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1986020001,/api/v1/game/1986020001/feed/live,R,19861987,1986-10-10T00:00:00Z,5,1,0,0,20,Calgary Flames,/api/v1/teams/20,3,0,1,0,6,Boston Bruins,/api/v1/teams/6
1986020003,/api/v1/game/1986020003/feed/live,R,19861987,1986-10-10T00:00:00Z,4,0,1,0,8,Montréal Canadiens,/api/v1/teams/8,7,1,0,0,10,Toronto Maple Leafs,/api/v1/teams/10
1986020004,/api/v1/game/1986020004/feed/live,R,19861987,1986-10-10T00:00:00Z,1,0,1,0,17,Detroit Red Wings,/api/v1/teams/17,6,1,0,0,32,Quebec Nordiques,/api/v1/teams/32
1986020006,/api/v1/game/1986020006/feed/live,R,19861987,1986-10-10T00:00:00Z,5,1,0,0,1,New Jersey Devils,/api/v1/teams/1,3,0,1,0,3,New York Rangers,/api/v1/teams/3
1986020007,/api/v1/game/1986020007/feed/live,R,19861987,1986-10-10T00:00:00Z,1,0,1,0,22,Edmonton Oilers,/api/v1/teams/22,2,1,0,0,4,Philadelphia Flyers,/api/v1/teams/4
1986020008,/api/v1/game/1986020008/feed/live,R,19861987,1986-10-10T00:00:00Z,4,0,1,0,15,Washington Capitals,/api/v1/teams/15,5,1,0,0,5,Pittsburgh Penguins,/api/v1/teams/5
1986020002,/api/v1/game/1986020002/feed/live,R,19861987,1986-10-10T01:00:00Z,2,0,1,0,7,Buffalo Sabres,/api/v1/teams/7,3,1,0,0,33,Winnipeg Jets (1979),/api/v1/teams/33
1986020005,/api/v1/game/1986020005/feed/live,R,19861987,1986-10-10T01:00:00Z,2,0,1,0,2,New York Islanders,/api/v1/teams/2,3,1,0,0,16,Chicago Blackhawks,/api/v1/teams/16
1986020009,/api/v1/game/1986020009/feed/live,R,19861987,1986-10-10T03:00:00Z,4,1,0,0,19,St. Louis Blues,/api/v1/teams/19,3,0,1,0,26,Los Angeles Kings,/api/v1/teams/26
1986020010,/api/v1/game/1986020010/feed/live,R,19861987,1986-10-12T00:00:00Z,4,0,2,0,6,Boston Bruins,/api/v1/teams/6,5,2,0,0,1,New Jersey Devils,/api/v1/teams/1
