gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1984020001,/api/v1/game/1984020001/feed/live,R,19841985,1984-10-12T00:00:00Z,3,0,1,0,5,Pittsburgh Penguins,/api/v1/teams/5,4,1,0,0,6,Boston Bruins,/api/v1/teams/6
1984020002,/api/v1/game/1984020002/feed/live,R,19841985,1984-10-12T00:00:00Z,4,0,0,1,34,Hartford Whalers,/api/v1/teams/34,4,0,0,1,3,New York Rangers,/api/v1/teams/3
1984020003,/api/v1/game/1984020003/feed/live,R,19841985,1984-10-12T00:00:00Z,3,0,1,0,8,Montréal Canadiens,/api/v1/teams/8,4,1,0,0,7,Buffalo Sabres,/api/v1/teams/7
1984020005,/api/v1/game/1984020005/feed/live,R,19841985,1984-10-12T00:00:00Z,2,0,0,1,15,Washington Capitals,/api/v1/teams/15,2,0,0,1,4,Philadelphia Flyers,/api/v1/teams/4
1984020006,/api/v1/game/1984020006/feed/live,R,19841985,1984-10-12T01:00:00Z,1,1,0,0,10,Toronto Maple Leafs,/api/v1/teams/10,0,0,0,0,31,Minnesota North Stars,/api/v1/teams/31
1984020007,/api/v1/game/1984020007/feed/live,R,19841985,1984-10-12T01:00:00Z,3,0,1,0,17,Detroit Red Wings,/api/v1/teams/17,7,1,0,0,16,Chicago Blackhawks,/api/v1/teams/16
1984020008,/api/v1/game/1984020008/feed/live,R,19841985,1984-10-12T02:00:00Z,4,1,0,0,19,St. Louis Blues,/api/v1/teams/19,2,0,1,0,20,Calgary Flames,/api/v1/teams/20
1984020004,/api/v1/game/1984020004/feed/live,R,19841985,1984-10-12T03:00:00Z,5,1,0,0,32,Quebec Nordiques,/api/v1/teams/32,2,0,1,0,23,Vancouver Canucks,/api/v1/teams/23
1984020009,/api/v1/game/1984020009/feed/live,R,19841985,1984-10-12T03:00:00Z,2,0,0,1,22,Edmonton Oilers,/api/v1/teams/22,2,0,0,1,26,Los Angeles Kings,/api/v1/teams/26
1984020010,/api/v1/game/1984020010/feed/live,R,19841985,1984-10-13T00:00:00Z,2,0,1,0,2,New York Islanders,/api/v1/teams/2,7,1,0,0,1,New Jersey Devils,/api/v1/teams/1
1984020011,/api/v1/game/1984020011/feed/live,R,19841985,1984-10-13T02:00:00Z,1,1,1,0,19,St. Louis Blues,/api/v1/teams/19,5,1,0,0,22,Edmonton Oilers,/api/v1/teams/22
1984020012,/api/v1/game/1984020012/feed/live,R,19841985,1984-10-14T00:00:00Z,2,1,0,1,6,Boston Bruins,/api/v1/teams/6,3,1,0,1,34,Hartford Whalers,/api/v1/teams/34
1984020013,/api/v1/game/1984020013/feed/live,R,19841985,1984-10-14T00:00:00Z,3,1,0,1,7,Buffalo Sabres,/api/v1/teams/7,4,2,0,1,10,Toronto Maple Leafs,/api/v1/teams/10
1984020014,/api/v1/game/1984020014/feed/live,R,19841985,1984-10-14T00:00:00Z,3,0,2,0,5,Pittsburgh Penguins,/api/v1/teams/5,4,1,1,0,8,Montréal Canadiens,/api/v1/teams/8
1984020016,/api/v1/game/1984020016/feed/live,R,19841985,1984-10-14T00:00:00Z,6,1,0,1,16,Chicago Blackhawks,/api/v1/teams/16,7,1,1,1,2,New York Islanders,/api/v1/teams/2
1984020018,/api/v1/game/1984020018/feed/live,R,19841985,1984-10-14T00:00:00Z,1,1,1,0,1,New Jersey Devils,/api/v1/teams/1,4,1,1,0,17,Detroit Red Wings,/api/v1/teams/17
1984020019,/api/v1/game/1984020019/feed/live,R,19841985,1984-10-14T00:00:00Z,4,1,0,1,4,Philadelphia Flyers,/api/v1/teams/4,2,0,1,1,15,Washington Capitals,/api/v1/teams/15
1984020017,/api/v1/game/1984020017/feed/live,R,19841985,1984-10-14T01:00:00Z,1,0,1,1,3,New York Rangers,/api/v1/teams/3,3,1,0,1,31,Minnesota North Stars,/api/v1/teams/31
1984020015,/api/v1/game/1984020015/feed/live,R,19841985,1984-10-14T02:00:00Z,2,1,1,0,32,Quebec Nordiques,/api/v1/teams/32,7,1,1,0,20,Calgary Flames,/api/v1/teams/20
1984020020,/api/v1/game/1984020020/feed/live,R,19841985,1984-10-14T03:00:00Z,6,1,1,0,23,Vancouver Canucks,/api/v1/teams/23,5,0,0,0,26,Los Angeles Kings,/api/v1/teams/26
1984020021,/api/v1/game/1984020021/feed/live,R,19841985,1984-10-15T00:00:00Z,2,1,1,1,34,Hartford Whalers,/api/v1/teams/34,4,2,0,1,6,Boston Bruins,/api/v1/teams/6
1984020022,/api/v1/game/1984020022/feed/live,R,19841985,1984-10-15T00:00:00Z,4,1,2,0,17,Detroit Red Wings,/api/v1/teams/17,6,2,0,0,7,Buffalo Sabres,/api/v1/teams/7
1984020024,/api/v1/game/1984020024/feed/live,R,19841985,1984-10-15T00:00:00Z,3,2,0,1,31,Minnesota North Stars,/api/v1/teams/31,1,0,2,1,3,New York Rangers,/api/v1/teams/3
1984020025,/api/v1/game/1984020025/feed/live,R,19841985,1984-10-15T01:00:00Z,5,1,1,1,15,Washington Capitals,/api/v1/teams/15,3,1,1,1,16,Chicago Blackhawks,/api/v1/teams/16
1984020026,/api/v1/game/1984020026/feed/live,R,19841985,1984-10-15T01:00:00Z,2,2,1,0,10,Toronto Maple Leafs,/api/v1/teams/10,5,1,0,0,33,Winnipeg Jets (1979),/api/v1/teams/33
1984020023,/api/v1/game/1984020023/feed/live,R,19841985,1984-10-15T02:00:00Z,2,1,2,0,32,Quebec Nordiques,/api/v1/teams/32,9,2,0,0,22,Edmonton Oilers,/api/v1/teams/22
1984020027,/api/v1/game/1984020027/feed/live,R,19841985,1984-10-15T03:00:00Z,5,2,1,0,19,St. Louis Blues,/api/v1/teams/19,2,0,1,0,26,Los Angeles Kings,/api/v1/teams/26
1984020028,/api/v1/game/1984020028/feed/live,R,19841985,1984-10-15T03:00:00Z,7,2,1,0,20,Calgary Flames,/api/v1/teams/20,5,1,2,0,23,Vancouver Canucks,/api/v1/teams/23
1984020029,/api/v1/game/1984020029/feed/live,R,19841985,1984-10-16T00:00:00Z,2,1,1,1,4,Philadelphia Flyers,/api/v1/teams/4,5,2,1,1,8,Montréal Canadiens,/api/v1/teams/8
1984020031,/api/v1/game/1984020031/feed/live,R,19841985,1984-10-17T00:00:00Z,4,1,2,0,1,New Jersey Devils,/api/v1/teams/1,6,2,1,0,2,New York Islanders,/api/v1/teams/2
1984020032,/api/v1/game/1984020032/feed/live,R,19841985,1984-10-17T00:00:00Z,3,0,2,2,26,Los Angeles Kings,/api/v1/teams/26,5,2,1,2,15,Washington Capitals,/api/v1/teams/15
1984020030,/api/v1/game/1984020030/feed/live,R,19841985,1984-10-17T02:00:00Z,2,2,1,1,6,Boston Bruins,/api/v1/teams/6,7,3,0,1,22,Edmonton Oilers,/api/v1/teams/22
1984020033,/api/v1/game/1984020033/feed/live,R,19841985,1984-10-18T00:00:00Z,5,2,1,1,34,Hartford Whalers,/api/v1/teams/34,3,2,2,1,10,Toronto Maple Leafs,/api/v1/teams/10
1984020034,/api/v1/game/1984020034/feed/live,R,19841985,1984-10-18T00:00:00Z,1,2,1,1,7,Buffalo Sabres,/api/v1/teams/7,4,2,2,1,32,Quebec Nordiques,/api/v1/teams/32
1984020035,/api/v1/game/1984020035/feed/live,R,19841985,1984-10-18T00:00:00Z,6,3,1,0,2,New York Islanders,/api/v1/teams/2,4,1,3,0,17,Detroit Red Wings,/api/v1/teams/17
1984020036,/api/v1/game/1984020036/feed/live,R,19841985,1984-10-18T00:00:00Z,3,1,3,0,23,Vancouver Canucks,/api/v1/teams/23,4,1,2,0,5,Pittsburgh Penguins,/api/v1/teams/5
1984020037,/api/v1/game/1984020037/feed/live,R,19841985,1984-10-18T01:00:00Z,3,2,2,0,19,St. Louis Blues,/api/v1/teams/19,4,2,1,0,16,Chicago Blackhawks,/api/v1/teams/16
1984020038,/api/v1/game/1984020038/feed/live,R,19841985,1984-10-18T02:00:00Z,4,1,1,0,33,Winnipeg Jets (1979),/api/v1/teams/33,7,3,1,0,20,Calgary Flames,/api/v1/teams/20
1984020039,/api/v1/game/1984020039/feed/live,R,19841985,1984-10-19T00:00:00Z,3,1,4,0,17,Detroit Red Wings,/api/v1/teams/17,7,3,1,0,34,Hartford Whalers,/api/v1/teams/34
1984020040,/api/v1/game/1984020040/feed/live,R,19841985,1984-10-19T00:00:00Z,3,0,2,3,26,Los Angeles Kings,/api/v1/teams/26,3,2,1,3,8,Montréal Canadiens,/api/v1/teams/8
1984020041,/api/v1/game/1984020041/feed/live,R,19841985,1984-10-19T00:00:00Z,2,1,4,0,23,Vancouver Canucks,/api/v1/teams/23,13,2,1,0,4,Philadelphia Flyers,/api/v1/teams/4
1984020042,/api/v1/game/1984020042/feed/live,R,19841985,1984-10-19T01:00:00Z,7,4,0,1,22,Edmonton Oilers,/api/v1/teams/22,5,2,1,1,31,Minnesota North Stars,/api/v1/teams/31
1984020044,/api/v1/game/1984020044/feed/live,R,19841985,1984-10-20T00:00:00Z,4,2,3,0,32,Quebec Nordiques,/api/v1/teams/32,5,3,1,0,7,Buffalo Sabres,/api/v1/teams/7
1984020045,/api/v1/game/1984020045/feed/live,R,19841985,1984-10-20T00:00:00Z,1,2,3,0,10,Toronto Maple Leafs,/api/v1/teams/10,4,2,2,0,1,New Jersey Devils,/api/v1/teams/1
1984020046,/api/v1/game/1984020046/feed/live,R,19841985,1984-10-20T01:00:00Z,7,5,0,1,22,Edmonton Oilers,/api/v1/teams/22,4,1,2,1,33,Winnipeg Jets (1979),/api/v1/teams/33
1984020043,/api/v1/game/1984020043/feed/live,R,19841985,1984-10-20T02:00:00Z,2,2,2,1,6,Boston Bruins,/api/v1/teams/6,8,4,1,1,20,Calgary Flames,/api/v1/teams/20
1984020047,/api/v1/game/1984020047/feed/live,R,19841985,1984-10-21T00:00:00Z,2,1,5,0,23,Vancouver Canucks,/api/v1/teams/23,3,4,1,0,34,Hartford Whalers,/api/v1/teams/34
1984020048,/api/v1/game/1984020048/feed/live,R,19841985,1984-10-21T00:00:00Z,2,2,2,1,31,Minnesota North Stars,/api/v1/teams/31,4,3,1,1,8,Montréal Canadiens,/api/v1/teams/8
