gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
2003020002,/api/v1/game/2003020002/feed/live,R,20032004,2003-10-09T00:00:00Z,1,0,1,0,24,Anaheim Ducks,/api/v1/teams/24,4,1,0,0,25,Dallas Stars,/api/v1/teams/25
2003020003,/api/v1/game/2003020003/feed/live,R,20032004,2003-10-09T00:00:00Z,0,0,1,0,30,Minnesota Wild,/api/v1/teams/30,1,1,0,0,16,Chicago Blackhawks,/api/v1/teams/16
2003020001,/api/v1/game/2003020001/feed/live,R,20032004,2003-10-09T00:00:00Z,3,0,0,1,1,New Jersey Devils,/api/v1/teams/1,3,0,0,1,6,Boston Bruins,/api/v1/teams/6
2003020004,/api/v1/game/2003020004/feed/live,R,20032004,2003-10-09T23:00:00Z,2,0,1,0,8,Montréal Canadiens,/api/v1/teams/8,5,1,0,0,9,Ottawa Senators,/api/v1/teams/9
2003020005,/api/v1/game/2003020005/feed/live,R,20032004,2003-10-09T23:00:00Z,0,0,1,0,7,Buffalo Sabres,/api/v1/teams/7,2,1,0,0,4,Philadelphia Flyers,/api/v1/teams/4
2003020006,/api/v1/game/2003020006/feed/live,R,20032004,2003-10-09T23:00:00Z,1,0,1,0,2,New York Islanders,/api/v1/teams/2,6,1,0,0,15,Washington Capitals,/api/v1/teams/15
2003020007,/api/v1/game/2003020007/feed/live,R,20032004,2003-10-09T23:30:00Z,1,0,1,0,29,Columbus Blue Jackets,/api/v1/teams/29,2,1,0,0,11,Atlanta Thrashers,/api/v1/teams/11
2003020008,/api/v1/game/2003020008/feed/live,R,20032004,2003-10-09T23:30:00Z,1,0,1,0,12,Carolina Hurricanes,/api/v1/teams/12,3,1,0,0,13,Florida Panthers,/api/v1/teams/13
2003020009,/api/v1/game/2003020009/feed/live,R,20032004,2003-10-09T23:30:00Z,2,0,1,0,26,Los Angeles Kings,/api/v1/teams/26,3,1,0,0,17,Detroit Red Wings,/api/v1/teams/17
2003020010,/api/v1/game/2003020010/feed/live,R,20032004,2003-10-10T00:00:00Z,1,0,2,0,24,Anaheim Ducks,/api/v1/teams/24,3,1,0,0,18,Nashville Predators,/api/v1/teams/18
2003020011,/api/v1/game/2003020011/feed/live,R,20032004,2003-10-10T01:00:00Z,2,0,1,0,28,San Jose Sharks,/api/v1/teams/28,5,1,0,0,22,Edmonton Oilers,/api/v1/teams/22
2003020012,/api/v1/game/2003020012/feed/live,R,20032004,2003-10-10T02:30:00Z,1,0,1,0,20,Calgary Flames,/api/v1/teams/20,4,1,0,0,23,Vancouver Canucks,/api/v1/teams/23
2003020013,/api/v1/game/2003020013/feed/live,R,20032004,2003-10-10T23:30:00Z,3,1,1,0,26,Los Angeles Kings,/api/v1/teams/26,0,0,1,0,5,Pittsburgh Penguins,/api/v1/teams/5
2003020014,/api/v1/game/2003020014/feed/live,R,20032004,2003-10-10T23:30:00Z,1,0,1,1,6,Boston Bruins,/api/v1/teams/6,5,1,0,1,14,Tampa Bay Lightning,/api/v1/teams/14
2003020015,/api/v1/game/2003020015/feed/live,R,20032004,2003-10-11T00:30:00Z,3,0,1,0,3,New York Rangers,/api/v1/teams/3,5,1,1,0,30,Minnesota Wild,/api/v1/teams/30
2003020016,/api/v1/game/2003020016/feed/live,R,20032004,2003-10-11T01:00:00Z,0,1,1,0,16,Chicago Blackhawks,/api/v1/teams/16,5,1,0,0,21,Colorado Avalanche,/api/v1/teams/21
2003020017,/api/v1/game/2003020017/feed/live,R,20032004,2003-10-11T02:00:00Z,1,0,0,0,19,St. Louis Blues,/api/v1/teams/19,2,1,0,0,27,Phoenix Coyotes,/api/v1/teams/27
2003020018,/api/v1/game/2003020018/feed/live,R,20032004,2003-10-11T23:00:00Z,6,1,1,0,2,New York Islanders,/api/v1/teams/2,0,0,2,0,7,Buffalo Sabres,/api/v1/teams/7
2003020019,/api/v1/game/2003020019/feed/live,R,20032004,2003-10-11T23:00:00Z,4,1,1,0,8,Montréal Canadiens,/api/v1/teams/8,0,0,1,0,10,Toronto Maple Leafs,/api/v1/teams/10
2003020020,/api/v1/game/2003020020/feed/live,R,20032004,2003-10-11T23:00:00Z,3,2,0,0,17,Detroit Red Wings,/api/v1/teams/17,2,1,0,0,9,Ottawa Senators,/api/v1/teams/9
2003020021,/api/v1/game/2003020021/feed/live,R,20032004,2003-10-11T23:00:00Z,3,0,1,1,5,Pittsburgh Penguins,/api/v1/teams/5,3,1,0,1,4,Philadelphia Flyers,/api/v1/teams/4
2003020022,/api/v1/game/2003020022/feed/live,R,20032004,2003-10-11T23:00:00Z,4,2,0,0,11,Atlanta Thrashers,/api/v1/teams/11,3,1,1,0,15,Washington Capitals,/api/v1/teams/15
2003020023,/api/v1/game/2003020023/feed/live,R,20032004,2003-10-11T23:00:00Z,2,1,0,1,1,New Jersey Devils,/api/v1/teams/1,1,0,2,1,12,Carolina Hurricanes,/api/v1/teams/12
2003020024,/api/v1/game/2003020024/feed/live,R,20032004,2003-10-11T23:00:00Z,0,0,2,0,3,New York Rangers,/api/v1/teams/3,5,1,1,0,29,Columbus Blue Jackets,/api/v1/teams/29
2003020025,/api/v1/game/2003020025/feed/live,R,20032004,2003-10-11T23:30:00Z,1,0,1,2,6,Boston Bruins,/api/v1/teams/6,1,1,0,2,13,Florida Panthers,/api/v1/teams/13
2003020026,/api/v1/game/2003020026/feed/live,R,20032004,2003-10-12T00:00:00Z,3,2,0,0,25,Dallas Stars,/api/v1/teams/25,1,1,1,0,18,Nashville Predators,/api/v1/teams/18
2003020027,/api/v1/game/2003020027/feed/live,R,20032004,2003-10-12T01:00:00Z,2,0,2,0,28,San Jose Sharks,/api/v1/teams/28,3,1,1,0,20,Calgary Flames,/api/v1/teams/20
