gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1996020001,/api/v1/game/1996020001/feed/live,R,19961997,1996-10-05T00:00:00Z,2,0,1,0,21,Colorado Avalanche,/api/v1/teams/21,4,1,0,0,19,St. Louis Blues,/api/v1/teams/19
1996020002,/api/v1/game/1996020002/feed/live,R,19961997,1996-10-05T01:30:00Z,3,0,1,0,7,Buffalo Sabres,/api/v1/teams/7,4,1,0,0,22,Edmonton Oilers,/api/v1/teams/22
1996020003,/api/v1/game/1996020003/feed/live,R,19961997,1996-10-05T02:30:00Z,0,0,1,0,2,New York Islanders,/api/v1/teams/2,1,1,0,0,26,Los Angeles Kings,/api/v1/teams/26
1996020004,/api/v1/game/1996020004/feed/live,R,19961997,1996-10-05T23:00:00Z,4,0,0,1,3,New York Rangers,/api/v1/teams/3,4,0,0,1,6,Boston Bruins,/api/v1/teams/6
1996020005,/api/v1/game/1996020005/feed/live,R,19961997,1996-10-05T23:00:00Z,0,0,1,0,27,Phoenix Coyotes,/api/v1/teams/27,1,1,0,0,34,Hartford Whalers,/api/v1/teams/34
1996020006,/api/v1/game/1996020006/feed/live,R,19961997,1996-10-05T23:30:00Z,4,1,0,0,14,Tampa Bay Lightning,/api/v1/teams/14,3,0,1,0,5,Pittsburgh Penguins,/api/v1/teams/5
1996020007,/api/v1/game/1996020007/feed/live,R,19961997,1996-10-05T23:30:00Z,3,0,0,1,9,Ottawa Senators,/api/v1/teams/9,3,0,0,1,8,Montréal Canadiens,/api/v1/teams/8
1996020008,/api/v1/game/1996020008/feed/live,R,19961997,1996-10-05T23:30:00Z,1,0,1,0,17,Detroit Red Wings,/api/v1/teams/17,3,1,0,0,1,New Jersey Devils,/api/v1/teams/1
1996020009,/api/v1/game/1996020009/feed/live,R,19961997,1996-10-05T23:30:00Z,3,1,0,0,13,Florida Panthers,/api/v1/teams/13,1,0,1,0,4,Philadelphia Flyers,/api/v1/teams/4
1996020010,/api/v1/game/1996020010/feed/live,R,19961997,1996-10-05T23:30:00Z,5,1,0,0,16,Chicago Blackhawks,/api/v1/teams/16,2,0,1,0,15,Washington Capitals,/api/v1/teams/15
1996020011,/api/v1/game/1996020011/feed/live,R,19961997,1996-10-05T23:30:00Z,1,0,1,0,24,Anaheim Ducks,/api/v1/teams/24,4,1,0,0,10,Toronto Maple Leafs,/api/v1/teams/10
