gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1991020001,/api/v1/game/1991020001/feed/live,R,19911992,1991-10-03T16:00:00Z,3,0,1,0,3,New York Rangers,/api/v1/teams/3,5,1,0,0,6,Boston Bruins,/api/v1/teams/6
1991020002,/api/v1/game/1991020002/feed/live,R,19911992,1991-10-03T16:00:00Z,3,0,1,0,10,Toronto Maple Leafs,/api/v1/teams/10,4,1,0,0,8,Montréal Canadiens,/api/v1/teams/8
1991020003,/api/v1/game/1991020003/feed/live,R,19911992,1991-10-03T16:00:00Z,3,0,0,1,17,Detroit Red Wings,/api/v1/teams/17,3,0,0,1,16,Chicago Blackhawks,/api/v1/teams/16
1991020004,/api/v1/game/1991020004/feed/live,R,19911992,1991-10-04T16:00:00Z,5,1,0,0,5,Pittsburgh Penguins,/api/v1/teams/5,4,0,1,0,7,Buffalo Sabres,/api/v1/teams/7
1991020005,/api/v1/game/1991020005/feed/live,R,19911992,1991-10-04T16:00:00Z,2,0,1,0,4,Philadelphia Flyers,/api/v1/teams/4,5,1,0,0,15,Washington Capitals,/api/v1/teams/15
1991020006,/api/v1/game/1991020006/feed/live,R,19911992,1991-10-04T16:00:00Z,6,1,0,0,26,Los Angeles Kings,/api/v1/teams/26,3,0,1,0,33,Winnipeg Jets (1979),/api/v1/teams/33
1991020007,/api/v1/game/1991020007/feed/live,R,19911992,1991-10-04T16:00:00Z,2,0,1,0,22,Edmonton Oilers,/api/v1/teams/22,9,1,0,0,20,Calgary Flames,/api/v1/teams/20
1991020008,/api/v1/game/1991020008/feed/live,R,19911992,1991-10-04T16:00:00Z,3,0,1,0,28,San Jose Sharks,/api/v1/teams/28,4,1,0,0,23,Vancouver Canucks,/api/v1/teams/23
1991020009,/api/v1/game/1991020009/feed/live,R,19911992,1991-10-05T16:00:00Z,4,1,0,0,2,New York Islanders,/api/v1/teams/2,3,1,1,0,6,Boston Bruins,/api/v1/teams/6
1991020010,/api/v1/game/1991020010/feed/live,R,19911992,1991-10-05T16:00:00Z,2,0,1,0,34,Hartford Whalers,/api/v1/teams/34,4,1,0,0,32,Quebec Nordiques,/api/v1/teams/32
1991020011,/api/v1/game/1991020011/feed/live,R,19911992,1991-10-05T16:00:00Z,1,0,2,0,7,Buffalo Sabres,/api/v1/teams/7,3,2,0,0,15,Washington Capitals,/api/v1/teams/15
1991020012,/api/v1/game/1991020012/feed/live,R,19911992,1991-10-05T16:00:00Z,2,1,1,0,3,New York Rangers,/api/v1/teams/3,1,1,1,0,8,Montréal Canadiens,/api/v1/teams/8
1991020013,/api/v1/game/1991020013/feed/live,R,19911992,1991-10-05T16:00:00Z,2,0,1,0,19,St. Louis Blues,/api/v1/teams/19,7,1,0,0,1,New Jersey Devils,/api/v1/teams/1
1991020014,/api/v1/game/1991020014/feed/live,R,19911992,1991-10-05T16:00:00Z,5,0,1,1,17,Detroit Red Wings,/api/v1/teams/17,8,1,1,1,10,Toronto Maple Leafs,/api/v1/teams/10
