gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1985020001,/api/v1/game/1985020001/feed/live,R,19851986,1985-10-11T00:00:00Z,1,0,1,0,10,Toronto Maple Leafs,/api/v1/teams/10,3,1,0,0,6,Boston Bruins,/api/v1/teams/6
1985020002,/api/v1/game/1985020002/feed/live,R,19851986,1985-10-11T00:00:00Z,5,1,0,0,34,Hartford Whalers,/api/v1/teams/34,4,0,1,0,7,Buffalo Sabres,/api/v1/teams/7
1985020003,/api/v1/game/1985020003/feed/live,R,19851986,1985-10-11T00:00:00Z,5,1,0,0,8,Montréal Canadiens,/api/v1/teams/8,3,0,1,0,5,Pittsburgh Penguins,/api/v1/teams/5
1985020004,/api/v1/game/1985020004/feed/live,R,19851986,1985-10-11T00:00:00Z,2,0,1,0,16,Chicago Blackhawks,/api/v1/teams/16,6,1,0,0,32,Quebec Nordiques,/api/v1/teams/32
1985020005,/api/v1/game/1985020005/feed/live,R,19851986,1985-10-11T00:00:00Z,2,0,1,0,15,Washington Capitals,/api/v1/teams/15,4,1,0,0,3,New York Rangers,/api/v1/teams/3
1985020006,/api/v1/game/1985020006/feed/live,R,19851986,1985-10-11T00:00:00Z,6,1,0,0,1,New Jersey Devils,/api/v1/teams/1,5,0,1,0,4,Philadelphia Flyers,/api/v1/teams/4
1985020007,/api/v1/game/1985020007/feed/live,R,19851986,1985-10-11T00:00:00Z,6,0,0,1,31,Minnesota North Stars,/api/v1/teams/31,6,0,0,1,17,Detroit Red Wings,/api/v1/teams/17
1985020008,/api/v1/game/1985020008/feed/live,R,19851986,1985-10-11T02:00:00Z,3,0,1,0,33,Winnipeg Jets (1979),/api/v1/teams/33,4,1,0,0,22,Edmonton Oilers,/api/v1/teams/22
1985020009,/api/v1/game/1985020009/feed/live,R,19851986,1985-10-11T03:00:00Z,6,1,0,0,23,Vancouver Canucks,/api/v1/teams/23,5,0,1,0,26,Los Angeles Kings,/api/v1/teams/26
1985020010,/api/v1/game/1985020010/feed/live,R,19851986,1985-10-12T02:00:00Z,3,0,2,0,33,Winnipeg Jets (1979),/api/v1/teams/33,8,1,0,0,20,Calgary Flames,/api/v1/teams/20
1985020011,/api/v1/game/1985020011/feed/live,R,19851986,1985-10-13T00:00:00Z,9,2,0,0,6,Boston Bruins,/api/v1/teams/6,2,0,1,0,17,Detroit Red Wings,/api/v1/teams/17
1985020012,/api/v1/game/1985020012/feed/live,R,19851986,1985-10-13T00:00:00Z,2,1,1,0,3,New York Rangers,/api/v1/teams/3,8,2,0,0,34,Hartford Whalers,/api/v1/teams/34
1985020014,/api/v1/game/1985020014/feed/live,R,19851986,1985-10-13T00:00:00Z,3,0,2,0,16,Chicago Blackhawks,/api/v1/teams/16,6,2,0,0,8,Montréal Canadiens,/api/v1/teams/8
1985020015,/api/v1/game/1985020015/feed/live,R,19851986,1985-10-13T00:00:00Z,4,2,0,0,32,Quebec Nordiques,/api/v1/teams/32,0,0,2,0,10,Toronto Maple Leafs,/api/v1/teams/10
1985020017,/api/v1/game/1985020017/feed/live,R,19851986,1985-10-13T00:00:00Z,1,0,2,0,15,Washington Capitals,/api/v1/teams/15,4,2,0,0,1,New Jersey Devils,/api/v1/teams/1
1985020018,/api/v1/game/1985020018/feed/live,R,19851986,1985-10-13T00:00:00Z,4,1,1,0,4,Philadelphia Flyers,/api/v1/teams/4,2,0,2,0,5,Pittsburgh Penguins,/api/v1/teams/5
1985020013,/api/v1/game/1985020013/feed/live,R,19851986,1985-10-13T01:00:00Z,6,1,1,0,7,Buffalo Sabres,/api/v1/teams/7,2,0,1,0,31,Minnesota North Stars,/api/v1/teams/31
1985020016,/api/v1/game/1985020016/feed/live,R,19851986,1985-10-13T03:00:00Z,5,1,0,0,2,New York Islanders,/api/v1/teams/2,4,0,1,0,26,Los Angeles Kings,/api/v1/teams/26
1985020019,/api/v1/game/1985020019/feed/live,R,19851986,1985-10-13T03:00:00Z,4,1,0,0,19,St. Louis Blues,/api/v1/teams/19,3,1,1,0,23,Vancouver Canucks,/api/v1/teams/23
1985020020,/api/v1/game/1985020020/feed/live,R,19851986,1985-10-14T00:00:00Z,2,2,1,0,8,Montréal Canadiens,/api/v1/teams/8,7,3,0,0,6,Boston Bruins,/api/v1/teams/6
1985020022,/api/v1/game/1985020022/feed/live,R,19851986,1985-10-14T00:00:00Z,3,3,0,0,1,New Jersey Devils,/api/v1/teams/1,2,1,1,0,3,New York Rangers,/api/v1/teams/3
1985020023,/api/v1/game/1985020023/feed/live,R,19851986,1985-10-14T00:00:00Z,4,2,1,0,4,Philadelphia Flyers,/api/v1/teams/4,2,0,3,0,15,Washington Capitals,/api/v1/teams/15
1985020021,/api/v1/game/1985020021/feed/live,R,19851986,1985-10-14T01:00:00Z,5,3,0,0,32,Quebec Nordiques,/api/v1/teams/32,2,0,3,0,33,Winnipeg Jets (1979),/api/v1/teams/33
1985020024,/api/v1/game/1985020024/feed/live,R,19851986,1985-10-14T01:00:00Z,5,1,2,0,10,Toronto Maple Leafs,/api/v1/teams/10,1,0,3,0,16,Chicago Blackhawks,/api/v1/teams/16
1985020025,/api/v1/game/1985020025/feed/live,R,19851986,1985-10-14T02:00:00Z,3,1,1,0,19,St. Louis Blues,/api/v1/teams/19,6,2,0,0,22,Edmonton Oilers,/api/v1/teams/22
1985020026,/api/v1/game/1985020026/feed/live,R,19851986,1985-10-14T03:00:00Z,9,2,0,0,20,Calgary Flames,/api/v1/teams/20,2,0,2,0,26,Los Angeles Kings,/api/v1/teams/26
1985020027,/api/v1/game/1985020027/feed/live,R,19851986,1985-10-15T00:00:00Z,1,0,2,1,17,Detroit Red Wings,/api/v1/teams/17,6,2,1,1,7,Buffalo Sabres,/api/v1/teams/7
1985020028,/api/v1/game/1985020028/feed/live,R,19851986,1985-10-15T03:00:00Z,2,1,1,0,2,New York Islanders,/api/v1/teams/2,4,2,1,0,23,Vancouver Canucks,/api/v1/teams/23
1985020029,/api/v1/game/1985020029/feed/live,R,19851986,1985-10-16T00:00:00Z,1,2,1,0,34,Hartford Whalers,/api/v1/teams/34,4,4,0,0,32,Quebec Nordiques,/api/v1/teams/32
1985020030,/api/v1/game/1985020030/feed/live,R,19851986,1985-10-16T00:00:00Z,2,0,2,1,31,Minnesota North Stars,/api/v1/teams/31,3,1,2,1,5,Pittsburgh Penguins,/api/v1/teams/5
1985020032,/api/v1/game/1985020032/feed/live,R,19851986,1985-10-17T00:00:00Z,6,3,1,0,7,Buffalo Sabres,/api/v1/teams/7,0,2,2,0,8,Montréal Canadiens,/api/v1/teams/8
1985020036,/api/v1/game/1985020036/feed/live,R,19851986,1985-10-17T00:00:00Z,6,1,3,0,15,Washington Capitals,/api/v1/teams/15,5,1,2,0,10,Toronto Maple Leafs,/api/v1/teams/10
1985020037,/api/v1/game/1985020037/feed/live,R,19851986,1985-10-17T00:00:00Z,4,1,3,0,33,Winnipeg Jets (1979),/api/v1/teams/33,3,0,3,0,17,Detroit Red Wings,/api/v1/teams/17
1985020035,/api/v1/game/1985020035/feed/live,R,19851986,1985-10-17T01:00:00Z,5,1,2,1,5,Pittsburgh Penguins,/api/v1/teams/5,5,0,3,1,16,Chicago Blackhawks,/api/v1/teams/16
1985020033,/api/v1/game/1985020033/feed/live,R,19851986,1985-10-17T02:00:00Z,4,1,2,0,2,New York Islanders,/api/v1/teams/2,6,3,0,0,22,Edmonton Oilers,/api/v1/teams/22
1985020038,/api/v1/game/1985020038/feed/live,R,19851986,1985-10-17T02:00:00Z,2,2,1,0,19,St. Louis Blues,/api/v1/teams/19,1,2,1,0,20,Calgary Flames,/api/v1/teams/20
1985020031,/api/v1/game/1985020031/feed/live,R,19851986,1985-10-17T03:00:00Z,3,3,0,1,6,Boston Bruins,/api/v1/teams/6,3,2,1,1,23,Vancouver Canucks,/api/v1/teams/23
1985020034,/api/v1/game/1985020034/feed/live,R,19851986,1985-10-17T03:00:00Z,3,1,2,1,3,New York Rangers,/api/v1/teams/3,4,1,2,1,26,Los Angeles Kings,/api/v1/teams/26
1985020039,/api/v1/game/1985020039/feed/live,R,19851986,1985-10-18T00:00:00Z,4,3,1,0,34,Hartford Whalers,/api/v1/teams/34,3,3,0,0,1,New Jersey Devils,/api/v1/teams/1
1985020040,/api/v1/game/1985020040/feed/live,R,19851986,1985-10-18T00:00:00Z,2,5,0,0,32,Quebec Nordiques,/api/v1/teams/32,1,2,2,0,4,Philadelphia Flyers,/api/v1/teams/4
1985020041,/api/v1/game/1985020041/feed/live,R,19851986,1985-10-18T01:00:00Z,1,0,4,1,17,Detroit Red Wings,/api/v1/teams/17,10,1,2,1,31,Minnesota North Stars,/api/v1/teams/31
1985020043,/api/v1/game/1985020043/feed/live,R,19851986,1985-10-19T00:00:00Z,4,2,3,0,15,Washington Capitals,/api/v1/teams/15,1,3,2,0,7,Buffalo Sabres,/api/v1/teams/7
1985020042,/api/v1/game/1985020042/feed/live,R,19851986,1985-10-19T02:00:00Z,2,3,1,1,6,Boston Bruins,/api/v1/teams/6,3,4,0,1,22,Edmonton Oilers,/api/v1/teams/22
1985020044,/api/v1/game/1985020044/feed/live,R,19851986,1985-10-19T03:00:00Z,4,1,3,1,26,Los Angeles Kings,/api/v1/teams/26,5,3,1,1,23,Vancouver Canucks,/api/v1/teams/23
1985020046,/api/v1/game/1985020046/feed/live,R,19851986,1985-10-20T00:00:00Z,6,2,3,0,8,Montréal Canadiens,/api/v1/teams/8,11,4,1,0,34,Hartford Whalers,/api/v1/teams/34
1985020047,/api/v1/game/1985020047/feed/live,R,19851986,1985-10-20T00:00:00Z,2,3,2,1,7,Buffalo Sabres,/api/v1/teams/7,2,2,3,1,15,Washington Capitals,/api/v1/teams/15
1985020048,/api/v1/game/1985020048/feed/live,R,19851986,1985-10-20T00:00:00Z,3,1,3,1,5,Pittsburgh Penguins,/api/v1/teams/5,4,6,0,1,32,Quebec Nordiques,/api/v1/teams/32
1985020049,/api/v1/game/1985020049/feed/live,R,19851986,1985-10-20T00:00:00Z,4,1,3,1,3,New York Rangers,/api/v1/teams/3,5,2,2,1,2,New York Islanders,/api/v1/teams/2
1985020051,/api/v1/game/1985020051/feed/live,R,19851986,1985-10-20T00:00:00Z,3,1,3,1,31,Minnesota North Stars,/api/v1/teams/31,7,3,2,1,4,Philadelphia Flyers,/api/v1/teams/4
1985020052,/api/v1/game/1985020052/feed/live,R,19851986,1985-10-20T00:00:00Z,4,2,3,0,33,Winnipeg Jets (1979),/api/v1/teams/33,3,1,3,0,10,Toronto Maple Leafs,/api/v1/teams/10
1985020053,/api/v1/game/1985020053/feed/live,R,19851986,1985-10-20T00:00:00Z,6,1,3,1,16,Chicago Blackhawks,/api/v1/teams/16,2,0,5,1,17,Detroit Red Wings,/api/v1/teams/17
1985020050,/api/v1/game/1985020050/feed/live,R,19851986,1985-10-20T01:00:00Z,3,3,1,1,1,New Jersey Devils,/api/v1/teams/1,4,3,1,1,19,St. Louis Blues,/api/v1/teams/19
1985020045,/api/v1/game/1985020045/feed/live,R,19851986,1985-10-20T02:00:00Z,6,4,1,1,6,Boston Bruins,/api/v1/teams/6,3,2,2,1,20,Calgary Flames,/api/v1/teams/20
1985020054,/api/v1/game/1985020054/feed/live,R,19851986,1985-10-21T00:00:00Z,3,3,2,1,23,Vancouver Canucks,/api/v1/teams/23,4,2,3,1,3,New York Rangers,/api/v1/teams/3
1985020055,/api/v1/game/1985020055/feed/live,R,19851986,1985-10-21T01:00:00Z,5,4,2,0,4,Philadelphia Flyers,/api/v1/teams/4,2,1,4,0,16,Chicago Blackhawks,/api/v1/teams/16
1985020056,/api/v1/game/1985020056/feed/live,R,19851986,1985-10-21T01:00:00Z,5,2,3,0,20,Calgary Flames,/api/v1/teams/20,8,3,3,0,33,Winnipeg Jets (1979),/api/v1/teams/33
1985020057,/api/v1/game/1985020057/feed/live,R,19851986,1985-10-21T03:00:00Z,8,5,0,0,22,Edmonton Oilers,/api/v1/teams/22,5,1,4,0,26,Los Angeles Kings,/api/v1/teams/26
1985020058,/api/v1/game/1985020058/feed/live,R,19851986,1985-10-22T00:00:00Z,3,7,0,0,32,Quebec Nordiques,/api/v1/teams/32,2,2,4,0,8,Montréal Canadiens,/api/v1/teams/8
1985020060,/api/v1/game/1985020060/feed/live,R,19851986,1985-10-23T00:00:00Z,2,3,2,2,23,Vancouver Canucks,/api/v1/teams/23,2,2,2,2,2,New York Islanders,/api/v1/teams/2
1985020061,/api/v1/game/1985020061/feed/live,R,19851986,1985-10-23T01:00:00Z,4,3,2,0,19,St. Louis Blues,/api/v1/teams/19,5,2,3,0,31,Minnesota North Stars,/api/v1/teams/31
1985020059,/api/v1/game/1985020059/feed/live,R,19851986,1985-10-23T03:00:00Z,5,5,1,1,6,Boston Bruins,/api/v1/teams/6,2,1,5,1,26,Los Angeles Kings,/api/v1/teams/26
1985020063,/api/v1/game/1985020063/feed/live,R,19851986,1985-10-24T00:00:00Z,5,3,4,0,8,Montréal Canadiens,/api/v1/teams/8,4,3,3,0,7,Buffalo Sabres,/api/v1/teams/7
1985020064,/api/v1/game/1985020064/feed/live,R,19851986,1985-10-24T00:00:00Z,1,3,2,1,1,New Jersey Devils,/api/v1/teams/1,5,3,3,1,3,New York Rangers,/api/v1/teams/3
1985020065,/api/v1/game/1985020065/feed/live,R,19851986,1985-10-24T00:00:00Z,5,2,3,1,5,Pittsburgh Penguins,/api/v1/teams/5,4,1,4,1,10,Toronto Maple Leafs,/api/v1/teams/10
1985020067,/api/v1/game/1985020067/feed/live,R,19851986,1985-10-24T00:00:00Z,5,4,2,2,23,Vancouver Canucks,/api/v1/teams/23,0,0,6,2,17,Detroit Red Wings,/api/v1/teams/17
1985020062,/api/v1/game/1985020062/feed/live,R,19851986,1985-10-24T01:00:00Z,2,4,2,0,34,Hartford Whalers,/api/v1/teams/34,9,2,4,0,16,Chicago Blackhawks,/api/v1/teams/16
1985020068,/api/v1/game/1985020068/feed/live,R,19851986,1985-10-24T01:00:00Z,4,2,3,2,31,Minnesota North Stars,/api/v1/teams/31,4,3,2,2,19,St. Louis Blues,/api/v1/teams/19
1985020069,/api/v1/game/1985020069/feed/live,R,19851986,1985-10-24T01:00:00Z,3,5,1,0,22,Edmonton Oilers,/api/v1/teams/22,9,4,3,0,33,Winnipeg Jets (1979),/api/v1/teams/33
1985020066,/api/v1/game/1985020066/feed/live,R,19851986,1985-10-24T02:00:00Z,2,2,4,1,15,Washington Capitals,/api/v1/teams/15,4,3,3,1,20,Calgary Flames,/api/v1/teams/20
1985020070,/api/v1/game/1985020070/feed/live,R,19851986,1985-10-25T00:00:00Z,0,4,3,0,34,Hartford Whalers,/api/v1/teams/34,3,5,2,0,4,Philadelphia Flyers,/api/v1/teams/4
1985020071,/api/v1/game/1985020071/feed/live,R,19851986,1985-10-25T00:00:00Z,5,7,1,0,32,Quebec Nordiques,/api/v1/teams/32,6,3,2,0,2,New York Islanders,/api/v1/teams/2
1985020072,/api/v1/game/1985020072/feed/live,R,19851986,1985-10-25T00:00:00Z,6,3,4,1,16,Chicago Blackhawks,/api/v1/teams/16,4,3,3,1,1,New Jersey Devils,/api/v1/teams/1
1985020073,/api/v1/game/1985020073/feed/live,R,19851986,1985-10-25T00:00:00Z,4,1,5,1,10,Toronto Maple Leafs,/api/v1/teams/10,6,3,3,1,5,Pittsburgh Penguins,/api/v1/teams/5
