gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1987020001,/api/v1/game/1987020001/feed/live,R,19871988,1987-10-08T16:00:00Z,3,0,1,0,15,Washington Capitals,/api/v1/teams/15,4,1,0,0,6,Boston Bruins,/api/v1/teams/6
1987020002,/api/v1/game/1987020002/feed/live,R,19871988,1987-10-08T16:00:00Z,5,1,0,0,32,Quebec Nordiques,/api/v1/teams/32,1,0,1,0,34,Hartford Whalers,/api/v1/teams/34
1987020003,/api/v1/game/1987020003/feed/live,R,19871988,1987-10-08T16:00:00Z,2,0,0,1,31,Minnesota North Stars,/api/v1/teams/31,2,0,0,1,7,Buffalo Sabres,/api/v1/teams/7
1987020004,/api/v1/game/1987020004/feed/live,R,19871988,1987-10-08T16:00:00Z,2,0,0,1,8,Montréal Canadiens,/api/v1/teams/8,2,0,0,1,4,Philadelphia Flyers,/api/v1/teams/4
1987020005,/api/v1/game/1987020005/feed/live,R,19871988,1987-10-08T16:00:00Z,4,1,0,0,2,New York Islanders,/api/v1/teams/2,1,0,1,0,26,Los Angeles Kings,/api/v1/teams/26
1987020006,/api/v1/game/1987020006/feed/live,R,19871988,1987-10-08T16:00:00Z,4,0,0,1,5,Pittsburgh Penguins,/api/v1/teams/5,4,0,0,1,3,New York Rangers,/api/v1/teams/3
1987020007,/api/v1/game/1987020007/feed/live,R,19871988,1987-10-08T16:00:00Z,7,1,0,0,10,Toronto Maple Leafs,/api/v1/teams/10,5,0,1,0,16,Chicago Blackhawks,/api/v1/teams/16
1987020008,/api/v1/game/1987020008/feed/live,R,19871988,1987-10-08T16:00:00Z,1,0,1,0,17,Detroit Red Wings,/api/v1/teams/17,5,1,0,0,20,Calgary Flames,/api/v1/teams/20
1987020009,/api/v1/game/1987020009/feed/live,R,19871988,1987-10-08T16:00:00Z,2,0,1,0,19,St. Louis Blues,/api/v1/teams/19,8,1,0,0,23,Vancouver Canucks,/api/v1/teams/23
1987020010,/api/v1/game/1987020010/feed/live,R,19871988,1987-10-09T16:00:00Z,3,0,1,1,5,Pittsburgh Penguins,/api/v1/teams/5,6,1,0,1,1,New Jersey Devils,/api/v1/teams/1
1987020011,/api/v1/game/1987020011/feed/live,R,19871988,1987-10-09T16:00:00Z,4,1,1,0,17,Detroit Red Wings,/api/v1/teams/17,1,0,1,0,22,Edmonton Oilers,/api/v1/teams/22
1987020012,/api/v1/game/1987020012/feed/live,R,19871988,1987-10-10T16:00:00Z,5,1,1,0,6,Boston Bruins,/api/v1/teams/6,6,2,0,0,32,Quebec Nordiques,/api/v1/teams/32
1987020013,/api/v1/game/1987020013/feed/live,R,19871988,1987-10-10T16:00:00Z,6,1,0,1,3,New York Rangers,/api/v1/teams/3,2,0,2,1,34,Hartford Whalers,/api/v1/teams/34
1987020014,/api/v1/game/1987020014/feed/live,R,19871988,1987-10-10T16:00:00Z,3,0,1,1,7,Buffalo Sabres,/api/v1/teams/7,6,1,0,1,8,Montréal Canadiens,/api/v1/teams/8
1987020015,/api/v1/game/1987020015/feed/live,R,19871988,1987-10-10T16:00:00Z,7,2,0,0,2,New York Islanders,/api/v1/teams/2,1,1,1,0,23,Vancouver Canucks,/api/v1/teams/23
1987020016,/api/v1/game/1987020016/feed/live,R,19871988,1987-10-10T16:00:00Z,2,1,1,0,1,New Jersey Devils,/api/v1/teams/1,5,2,0,0,10,Toronto Maple Leafs,/api/v1/teams/10
1987020017,/api/v1/game/1987020017/feed/live,R,19871988,1987-10-10T16:00:00Z,5,1,0,1,4,Philadelphia Flyers,/api/v1/teams/4,4,0,1,1,31,Minnesota North Stars,/api/v1/teams/31
1987020018,/api/v1/game/1987020018/feed/live,R,19871988,1987-10-10T16:00:00Z,4,0,2,0,16,Chicago Blackhawks,/api/v1/teams/16,6,1,1,0,15,Washington Capitals,/api/v1/teams/15
1987020019,/api/v1/game/1987020019/feed/live,R,19871988,1987-10-10T16:00:00Z,2,0,2,0,19,St. Louis Blues,/api/v1/teams/19,4,1,1,0,26,Los Angeles Kings,/api/v1/teams/26
1987020020,/api/v1/game/1987020020/feed/live,R,19871988,1987-10-10T16:00:00Z,5,1,0,0,33,Winnipeg Jets (1979),/api/v1/teams/33,1,1,1,0,20,Calgary Flames,/api/v1/teams/20
1987020021,/api/v1/game/1987020021/feed/live,R,19871988,1987-10-11T16:00:00Z,2,0,3,0,34,Hartford Whalers,/api/v1/teams/34,5,2,1,0,6,Boston Bruins,/api/v1/teams/6
1987020022,/api/v1/game/1987020022/feed/live,R,19871988,1987-10-11T16:00:00Z,5,1,2,0,15,Washington Capitals,/api/v1/teams/15,6,1,1,0,7,Buffalo Sabres,/api/v1/teams/7
1987020023,/api/v1/game/1987020023/feed/live,R,19871988,1987-10-11T16:00:00Z,3,1,1,1,4,Philadelphia Flyers,/api/v1/teams/4,5,1,2,1,16,Chicago Blackhawks,/api/v1/teams/16
1987020024,/api/v1/game/1987020024/feed/live,R,19871988,1987-10-11T16:00:00Z,9,1,1,0,22,Edmonton Oilers,/api/v1/teams/22,2,1,2,0,26,Los Angeles Kings,/api/v1/teams/26
1987020025,/api/v1/game/1987020025/feed/live,R,19871988,1987-10-12T16:00:00Z,5,3,0,0,32,Quebec Nordiques,/api/v1/teams/32,2,1,1,0,8,Montréal Canadiens,/api/v1/teams/8
