gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
2012020003,/api/v1/game/2012020003/feed/live,R,20122013,2013-01-19T20:00:00Z,5,1,0,,16,Chicago Blackhawks,/api/v1/teams/16,2,0,1,,26,Los Angeles Kings,/api/v1/teams/26
2012020002,/api/v1/game/2012020002/feed/live,R,20122013,2013-01-19T20:00:00Z,4,1,0,,9,Ottawa Senators,/api/v1/teams/9,1,0,1,,52,Winnipeg Jets,/api/v1/teams/52
2012020001,/api/v1/game/2012020001/feed/live,R,20122013,2013-01-19T20:00:00Z,3,1,0,,5,Pittsburgh Penguins,/api/v1/teams/5,1,0,1,,4,Philadelphia Flyers,/api/v1/teams/4
2012020004,/api/v1/game/2012020004/feed/live,R,20122013,2013-01-20T00:00:00Z,1,0,1,,3,New York Rangers,/api/v1/teams/3,3,1,0,,6,Boston Bruins,/api/v1/teams/6
2012020005,/api/v1/game/2012020005/feed/live,R,20122013,2013-01-20T00:00:00Z,2,1,0,,10,Toronto Maple Leafs,/api/v1/teams/10,1,0,1,,8,Montréal Canadiens,/api/v1/teams/8
2012020006,/api/v1/game/2012020006/feed/live,R,20122013,2013-01-20T00:00:00Z,2,1,0,,1,New Jersey Devils,/api/v1/teams/1,1,0,1,,2,New York Islanders,/api/v1/teams/2
2012020007,/api/v1/game/2012020007/feed/live,R,20122013,2013-01-20T00:00:00Z,3,0,1,,15,Washington Capitals,/api/v1/teams/15,6,1,0,,14,Tampa Bay Lightning,/api/v1/teams/14
2012020008,/api/v1/game/2012020008/feed/live,R,20122013,2013-01-20T00:30:00Z,1,0,1,,12,Carolina Hurricanes,/api/v1/teams/12,5,1,0,,13,Florida Panthers,/api/v1/teams/13
2012020009,/api/v1/game/2012020009/feed/live,R,20122013,2013-01-20T01:00:00Z,0,0,1,,17,Detroit Red Wings,/api/v1/teams/17,6,1,0,,19,St. Louis Blues,/api/v1/teams/19
2012020010,/api/v1/game/2012020010/feed/live,R,20122013,2013-01-20T01:00:00Z,3,1,0,,29,Columbus Blue Jackets,/api/v1/teams/29,2,0,0,,18,Nashville Predators,/api/v1/teams/18
