gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1997020012,/api/v1/game/1997020012/feed/live,R,19971998,1997-10-03T23:30:00Z,4,1,0,1,5,Pittsburgh Penguins,/api/v1/teams/5,3,0,2,1,12,Carolina Hurricanes,/api/v1/teams/12
1997020013,/api/v1/game/1997020013/feed/live,R,19971998,1997-10-03T23:30:00Z,2,0,0,1,2,New York Islanders,/api/v1/teams/2,2,0,0,1,3,New York Rangers,/api/v1/teams/3
1997020014,/api/v1/game/1997020014/feed/live,R,19971998,1997-10-03T23:30:00Z,3,0,1,1,9,Ottawa Senators,/api/v1/teams/9,5,2,0,1,4,Philadelphia Flyers,/api/v1/teams/4
1997020015,/api/v1/game/1997020015/feed/live,R,19971998,1997-10-03T23:30:00Z,2,1,1,0,7,Buffalo Sabres,/api/v1/teams/7,6,2,0,0,15,Washington Capitals,/api/v1/teams/15
1997020016,/api/v1/game/1997020016/feed/live,R,19971998,1997-10-03T23:30:00Z,4,1,0,0,1,New Jersey Devils,/api/v1/teams/1,3,1,1,0,14,Tampa Bay Lightning,/api/v1/teams/14
1997020017,/api/v1/game/1997020017/feed/live,R,19971998,1997-10-04T00:30:00Z,2,1,1,0,27,Phoenix Coyotes,/api/v1/teams/27,7,1,1,0,19,St. Louis Blues,/api/v1/teams/19
1997020018,/api/v1/game/1997020018/feed/live,R,19971998,1997-10-04T01:00:00Z,4,1,0,1,21,Colorado Avalanche,/api/v1/teams/21,1,0,2,1,20,Calgary Flames,/api/v1/teams/20
1997020019,/api/v1/game/1997020019/feed/live,R,19971998,1997-10-04T01:00:00Z,8,2,0,0,17,Detroit Red Wings,/api/v1/teams/17,2,1,1,0,22,Edmonton Oilers,/api/v1/teams/22
1997020020,/api/v1/game/1997020020/feed/live,R,19971998,1997-10-04T03:00:00Z,2,0,1,0,24,Anaheim Ducks,/api/v1/teams/24,3,1,0,0,23,Vancouver Canucks,/api/v1/teams/23
1997020022,/api/v1/game/1997020022/feed/live,R,19971998,1997-10-04T23:00:00Z,5,1,1,0,13,Florida Panthers,/api/v1/teams/13,3,1,1,0,5,Pittsburgh Penguins,/api/v1/teams/5
1997020025,/api/v1/game/1997020025/feed/live,R,19971998,1997-10-04T23:00:00Z,1,1,1,0,1,New Jersey Devils,/api/v1/teams/1,4,3,0,0,15,Washington Capitals,/api/v1/teams/15
1997020021,/api/v1/game/1997020021/feed/live,R,19971998,1997-10-04T23:30:00Z,4,1,0,1,8,Montréal Canadiens,/api/v1/teams/8,1,1,1,1,6,Boston Bruins,/api/v1/teams/6
1997020023,/api/v1/game/1997020023/feed/live,R,19971998,1997-10-04T23:30:00Z,2,0,3,0,12,Carolina Hurricanes,/api/v1/teams/12,3,1,1,0,9,Ottawa Senators,/api/v1/teams/9
1997020024,/api/v1/game/1997020024/feed/live,R,19971998,1997-10-04T23:30:00Z,0,0,2,0,10,Toronto Maple Leafs,/api/v1/teams/10,3,1,0,0,2,New York Islanders,/api/v1/teams/2
1997020026,/api/v1/game/1997020026/feed/live,R,19971998,1997-10-05T00:00:00Z,2,2,1,0,19,St. Louis Blues,/api/v1/teams/19,1,0,1,0,25,Dallas Stars,/api/v1/teams/25
1997020027,/api/v1/game/1997020027/feed/live,R,19971998,1997-10-05T02:30:00Z,2,0,2,0,16,Chicago Blackhawks,/api/v1/teams/16,3,1,1,0,28,San Jose Sharks,/api/v1/teams/28
1997020028,/api/v1/game/1997020028/feed/live,R,19971998,1997-10-05T03:00:00Z,2,1,1,0,23,Vancouver Canucks,/api/v1/teams/23,3,1,1,0,24,Anaheim Ducks,/api/v1/teams/24
1997020029,/api/v1/game/1997020029/feed/live,R,19971998,1997-10-05T23:00:00Z,2,0,1,2,26,Los Angeles Kings,/api/v1/teams/26,2,0,0,2,3,New York Rangers,/api/v1/teams/3
1997020030,/api/v1/game/1997020030/feed/live,R,19971998,1997-10-05T23:00:00Z,2,2,1,0,27,Phoenix Coyotes,/api/v1/teams/27,1,2,1,0,4,Philadelphia Flyers,/api/v1/teams/4
1997020031,/api/v1/game/1997020031/feed/live,R,19971998,1997-10-05T23:00:00Z,1,1,1,1,7,Buffalo Sabres,/api/v1/teams/7,1,1,1,1,14,Tampa Bay Lightning,/api/v1/teams/14
1997020032,/api/v1/game/1997020032/feed/live,R,19971998,1997-10-06T00:00:00Z,3,2,0,1,21,Colorado Avalanche,/api/v1/teams/21,0,1,2,1,22,Edmonton Oilers,/api/v1/teams/22
1997020034,/api/v1/game/1997020034/feed/live,R,19971998,1997-10-07T23:00:00Z,4,1,1,1,25,Dallas Stars,/api/v1/teams/25,2,1,2,1,7,Buffalo Sabres,/api/v1/teams/7
1997020033,/api/v1/game/1997020033/feed/live,R,19971998,1997-10-07T23:30:00Z,3,0,1,3,26,Los Angeles Kings,/api/v1/teams/26,3,0,3,3,12,Carolina Hurricanes,/api/v1/teams/12
1997020035,/api/v1/game/1997020035/feed/live,R,19971998,1997-10-08T01:00:00Z,2,1,2,0,6,Boston Bruins,/api/v1/teams/6,3,3,0,0,21,Colorado Avalanche,/api/v1/teams/21
1997020036,/api/v1/game/1997020036/feed/live,R,19971998,1997-10-08T01:00:00Z,2,1,2,0,10,Toronto Maple Leafs,/api/v1/teams/10,1,0,3,0,20,Calgary Flames,/api/v1/teams/20
1997020037,/api/v1/game/1997020037/feed/live,R,19971998,1997-10-08T02:30:00Z,1,2,1,1,9,Ottawa Senators,/api/v1/teams/9,0,1,2,1,28,San Jose Sharks,/api/v1/teams/28
1997020038,/api/v1/game/1997020038/feed/live,R,19971998,1997-10-08T23:00:00Z,3,2,0,1,8,Montréal Canadiens,/api/v1/teams/8,0,1,2,1,5,Pittsburgh Penguins,/api/v1/teams/5
1997020039,/api/v1/game/1997020039/feed/live,R,19971998,1997-10-08T23:30:00Z,6,4,0,0,15,Washington Capitals,/api/v1/teams/15,3,1,1,0,2,New York Islanders,/api/v1/teams/2
1997020040,/api/v1/game/1997020040/feed/live,R,19971998,1997-10-08T23:30:00Z,1,2,2,0,4,Philadelphia Flyers,/api/v1/teams/4,4,2,1,0,1,New Jersey Devils,/api/v1/teams/1
1997020041,/api/v1/game/1997020041/feed/live,R,19971998,1997-10-08T23:30:00Z,1,1,2,1,25,Dallas Stars,/api/v1/teams/25,3,3,0,1,17,Detroit Red Wings,/api/v1/teams/17
1997020043,/api/v1/game/1997020043/feed/live,R,19971998,1997-10-09T01:00:00Z,3,0,0,3,3,New York Rangers,/api/v1/teams/3,3,1,2,3,22,Edmonton Oilers,/api/v1/teams/22
1997020042,/api/v1/game/1997020042/feed/live,R,19971998,1997-10-09T02:00:00Z,3,2,2,0,6,Boston Bruins,/api/v1/teams/6,2,2,2,0,27,Phoenix Coyotes,/api/v1/teams/27
1997020044,/api/v1/game/1997020044/feed/live,R,19971998,1997-10-09T23:00:00Z,2,4,1,0,15,Washington Capitals,/api/v1/teams/15,5,2,2,0,7,Buffalo Sabres,/api/v1/teams/7
1997020045,/api/v1/game/1997020045/feed/live,R,19971998,1997-10-09T23:30:00Z,1,1,3,1,5,Pittsburgh Penguins,/api/v1/teams/5,3,3,2,1,4,Philadelphia Flyers,/api/v1/teams/4
1997020046,/api/v1/game/1997020046/feed/live,R,19971998,1997-10-10T00:30:00Z,4,2,1,1,14,Tampa Bay Lightning,/api/v1/teams/14,1,0,3,1,16,Chicago Blackhawks,/api/v1/teams/16
1997020047,/api/v1/game/1997020047/feed/live,R,19971998,1997-10-10T00:30:00Z,2,0,2,3,26,Los Angeles Kings,/api/v1/teams/26,3,3,1,3,19,St. Louis Blues,/api/v1/teams/19
1997020048,/api/v1/game/1997020048/feed/live,R,19971998,1997-10-10T01:00:00Z,2,1,3,0,28,San Jose Sharks,/api/v1/teams/28,3,4,0,0,21,Colorado Avalanche,/api/v1/teams/21
1997020049,/api/v1/game/1997020049/feed/live,R,19971998,1997-10-10T01:00:00Z,1,0,0,4,3,New York Rangers,/api/v1/teams/3,1,0,3,4,20,Calgary Flames,/api/v1/teams/20
1997020050,/api/v1/game/1997020050/feed/live,R,19971998,1997-10-10T03:00:00Z,2,1,2,1,10,Toronto Maple Leafs,/api/v1/teams/10,2,1,1,1,23,Vancouver Canucks,/api/v1/teams/23
1997020051,/api/v1/game/1997020051/feed/live,R,19971998,1997-10-10T23:30:00Z,1,2,2,0,1,New Jersey Devils,/api/v1/teams/1,2,1,3,0,12,Carolina Hurricanes,/api/v1/teams/12
1997020052,/api/v1/game/1997020052/feed/live,R,19971998,1997-10-10T23:30:00Z,0,2,2,1,14,Tampa Bay Lightning,/api/v1/teams/14,3,4,0,1,17,Detroit Red Wings,/api/v1/teams/17
1997020053,/api/v1/game/1997020053/feed/live,R,19971998,1997-10-11T00:30:00Z,0,0,4,0,16,Chicago Blackhawks,/api/v1/teams/16,7,2,2,0,25,Dallas Stars,/api/v1/teams/25
1997020054,/api/v1/game/1997020054/feed/live,R,19971998,1997-10-11T02:30:00Z,1,2,1,2,9,Ottawa Senators,/api/v1/teams/9,1,1,1,2,24,Anaheim Ducks,/api/v1/teams/24
1997020055,/api/v1/game/1997020055/feed/live,R,19971998,1997-10-11T23:00:00Z,1,1,4,1,12,Carolina Hurricanes,/api/v1/teams/12,4,2,3,1,5,Pittsburgh Penguins,/api/v1/teams/5
1997020058,/api/v1/game/1997020058/feed/live,R,19971998,1997-10-11T23:00:00Z,1,1,2,1,2,New York Islanders,/api/v1/teams/2,3,5,1,1,15,Washington Capitals,/api/v1/teams/15
1997020061,/api/v1/game/1997020061/feed/live,R,19971998,1997-10-11T23:30:00Z,1,1,3,1,10,Toronto Maple Leafs,/api/v1/teams/10,2,2,2,1,22,Edmonton Oilers,/api/v1/teams/22
1997020056,/api/v1/game/1997020056/feed/live,R,19971998,1997-10-11T23:30:00Z,6,4,2,0,4,Philadelphia Flyers,/api/v1/teams/4,2,2,1,0,8,Montréal Canadiens,/api/v1/teams/8
1997020057,/api/v1/game/1997020057/feed/live,R,19971998,1997-10-11T23:30:00Z,2,2,3,1,7,Buffalo Sabres,/api/v1/teams/7,3,3,2,1,1,New Jersey Devils,/api/v1/teams/1
1997020059,/api/v1/game/1997020059/feed/live,R,19971998,1997-10-12T00:30:00Z,3,1,2,0,13,Florida Panthers,/api/v1/teams/13,5,4,1,0,19,St. Louis Blues,/api/v1/teams/19
1997020060,/api/v1/game/1997020060/feed/live,R,19971998,1997-10-12T01:00:00Z,3,2,2,1,27,Phoenix Coyotes,/api/v1/teams/27,3,4,0,1,21,Colorado Avalanche,/api/v1/teams/21
1997020062,/api/v1/game/1997020062/feed/live,R,19971998,1997-10-12T02:30:00Z,6,1,0,4,3,New York Rangers,/api/v1/teams/3,3,1,2,4,23,Vancouver Canucks,/api/v1/teams/23
1997020063,/api/v1/game/1997020063/feed/live,R,19971998,1997-10-12T02:30:00Z,2,2,3,0,6,Boston Bruins,/api/v1/teams/6,5,2,3,0,28,San Jose Sharks,/api/v1/teams/28
1997020064,/api/v1/game/1997020064/feed/live,R,19971998,1997-10-12T22:00:00Z,4,0,3,2,20,Calgary Flames,/api/v1/teams/20,4,4,0,2,17,Detroit Red Wings,/api/v1/teams/17
1997020065,/api/v1/game/1997020065/feed/live,R,19971998,1997-10-13T00:00:00Z,4,2,2,2,9,Ottawa Senators,/api/v1/teams/9,7,1,2,2,26,Los Angeles Kings,/api/v1/teams/26
1997020069,/api/v1/game/1997020069/feed/live,R,19971998,1997-10-13T21:00:00Z,0,2,3,1,22,Edmonton Oilers,/api/v1/teams/22,3,2,2,1,23,Vancouver Canucks,/api/v1/teams/23
1997020066,/api/v1/game/1997020066/feed/live,R,19971998,1997-10-13T23:30:00Z,2,1,2,2,2,New York Islanders,/api/v1/teams/2,2,1,2,2,13,Florida Panthers,/api/v1/teams/13
1997020067,/api/v1/game/1997020067/feed/live,R,19971998,1997-10-14T00:30:00Z,1,1,5,1,12,Carolina Hurricanes,/api/v1/teams/12,3,5,1,1,19,St. Louis Blues,/api/v1/teams/19
1997020068,/api/v1/game/1997020068/feed/live,R,19971998,1997-10-14T02:00:00Z,1,0,5,0,16,Chicago Blackhawks,/api/v1/teams/16,2,3,2,0,27,Phoenix Coyotes,/api/v1/teams/27
1997020070,/api/v1/game/1997020070/feed/live,R,19971998,1997-10-14T02:30:00Z,3,5,2,0,4,Philadelphia Flyers,/api/v1/teams/4,2,2,4,0,28,San Jose Sharks,/api/v1/teams/28
1997020071,/api/v1/game/1997020071/feed/live,R,19971998,1997-10-14T02:30:00Z,3,3,3,0,6,Boston Bruins,/api/v1/teams/6,0,1,2,0,24,Anaheim Ducks,/api/v1/teams/24
1997020073,/api/v1/game/1997020073/feed/live,R,19971998,1997-10-14T23:30:00Z,3,5,0,1,17,Detroit Red Wings,/api/v1/teams/17,2,1,4,1,10,Toronto Maple Leafs,/api/v1/teams/10
1997020072,/api/v1/game/1997020072/feed/live,R,19971998,1997-10-15T00:00:00Z,1,3,3,1,5,Pittsburgh Penguins,/api/v1/teams/5,0,1,1,1,3,New York Rangers,/api/v1/teams/3
1997020074,/api/v1/game/1997020074/feed/live,R,19971998,1997-10-15T00:30:00Z,4,0,4,2,20,Calgary Flames,/api/v1/teams/20,5,3,2,2,25,Dallas Stars,/api/v1/teams/25
1997020075,/api/v1/game/1997020075/feed/live,R,19971998,1997-10-15T23:30:00Z,3,2,3,2,7,Buffalo Sabres,/api/v1/teams/7,3,1,5,2,12,Carolina Hurricanes,/api/v1/teams/12
1997020076,/api/v1/game/1997020076/feed/live,R,19971998,1997-10-15T23:30:00Z,1,1,2,4,3,New York Rangers,/api/v1/teams/3,5,3,2,4,9,Ottawa Senators,/api/v1/teams/9
1997020077,/api/v1/game/1997020077/feed/live,R,19971998,1997-10-15T23:30:00Z,1,3,3,2,5,Pittsburgh Penguins,/api/v1/teams/5,1,2,1,2,8,Montréal Canadiens,/api/v1/teams/8
1997020078,/api/v1/game/1997020078/feed/live,R,19971998,1997-10-15T23:30:00Z,1,2,3,1,14,Tampa Bay Lightning,/api/v1/teams/14,2,2,2,1,13,Florida Panthers,/api/v1/teams/13
1997020079,/api/v1/game/1997020079/feed/live,R,19971998,1997-10-15T23:30:00Z,4,2,4,1,10,Toronto Maple Leafs,/api/v1/teams/10,3,5,1,1,17,Detroit Red Wings,/api/v1/teams/17
1997020080,/api/v1/game/1997020080/feed/live,R,19971998,1997-10-16T00:30:00Z,2,6,1,0,15,Washington Capitals,/api/v1/teams/15,0,0,6,0,16,Chicago Blackhawks,/api/v1/teams/16
1997020081,/api/v1/game/1997020081/feed/live,R,19971998,1997-10-16T01:00:00Z,6,5,0,2,21,Colorado Avalanche,/api/v1/teams/21,2,2,4,2,22,Edmonton Oilers,/api/v1/teams/22
1997020082,/api/v1/game/1997020082/feed/live,R,19971998,1997-10-16T02:30:00Z,5,4,3,0,6,Boston Bruins,/api/v1/teams/6,3,1,3,0,26,Los Angeles Kings,/api/v1/teams/26
1997020083,/api/v1/game/1997020083/feed/live,R,19971998,1997-10-16T02:30:00Z,2,5,2,1,4,Philadelphia Flyers,/api/v1/teams/4,2,1,2,1,24,Anaheim Ducks,/api/v1/teams/24
1997020084,/api/v1/game/1997020084/feed/live,R,19971998,1997-10-17T00:30:00Z,0,2,3,1,13,Florida Panthers,/api/v1/teams/13,4,4,2,1,25,Dallas Stars,/api/v1/teams/25
1997020085,/api/v1/game/1997020085/feed/live,R,19971998,1997-10-17T02:30:00Z,5,2,2,2,2,New York Islanders,/api/v1/teams/2,2,2,5,2,28,San Jose Sharks,/api/v1/teams/28
1997020086,/api/v1/game/1997020086/feed/live,R,19971998,1997-10-17T23:30:00Z,5,3,1,2,8,Montréal Canadiens,/api/v1/teams/8,1,2,4,2,7,Buffalo Sabres,/api/v1/teams/7
1997020087,/api/v1/game/1997020087/feed/live,R,19971998,1997-10-17T23:30:00Z,2,3,3,0,1,New Jersey Devils,/api/v1/teams/1,4,4,2,0,9,Ottawa Senators,/api/v1/teams/9
1997020088,/api/v1/game/1997020088/feed/live,R,19971998,1997-10-17T23:30:00Z,4,4,3,2,5,Pittsburgh Penguins,/api/v1/teams/5,1,2,4,2,14,Tampa Bay Lightning,/api/v1/teams/14
1997020089,/api/v1/game/1997020089/feed/live,R,19971998,1997-10-18T00:00:00Z,2,6,1,0,19,St. Louis Blues,/api/v1/teams/19,0,0,7,0,16,Chicago Blackhawks,/api/v1/teams/16
1997020090,/api/v1/game/1997020090/feed/live,R,19971998,1997-10-18T01:00:00Z,5,5,1,2,21,Colorado Avalanche,/api/v1/teams/21,6,1,4,2,20,Calgary Flames,/api/v1/teams/20
1997020091,/api/v1/game/1997020091/feed/live,R,19971998,1997-10-18T02:00:00Z,2,5,3,0,6,Boston Bruins,/api/v1/teams/6,0,2,3,0,23,Vancouver Canucks,/api/v1/teams/23
1997020092,/api/v1/game/1997020092/feed/live,R,19971998,1997-10-18T02:30:00Z,1,5,3,1,4,Philadelphia Flyers,/api/v1/teams/4,5,2,3,1,26,Los Angeles Kings,/api/v1/teams/26
1997020093,/api/v1/game/1997020093/feed/live,R,19971998,1997-10-18T02:30:00Z,1,2,5,1,22,Edmonton Oilers,/api/v1/teams/22,2,2,2,1,24,Anaheim Ducks,/api/v1/teams/24
1997020097,/api/v1/game/1997020097/feed/live,R,19971998,1997-10-18T19:00:00Z,2,1,6,2,12,Carolina Hurricanes,/api/v1/teams/12,4,6,1,2,17,Detroit Red Wings,/api/v1/teams/17
1997020094,/api/v1/game/1997020094/feed/live,R,19971998,1997-10-18T23:30:00Z,3,7,1,0,15,Washington Capitals,/api/v1/teams/15,2,3,2,0,8,Montréal Canadiens,/api/v1/teams/8
1997020095,/api/v1/game/1997020095/feed/live,R,19971998,1997-10-18T23:30:00Z,0,2,5,1,14,Tampa Bay Lightning,/api/v1/teams/14,5,4,3,1,1,New Jersey Devils,/api/v1/teams/1
1997020096,/api/v1/game/1997020096/feed/live,R,19971998,1997-10-18T23:30:00Z,5,5,2,1,25,Dallas Stars,/api/v1/teams/25,4,2,5,1,10,Toronto Maple Leafs,/api/v1/teams/10
1997020098,/api/v1/game/1997020098/feed/live,R,19971998,1997-10-19T00:30:00Z,3,1,3,4,3,New York Rangers,/api/v1/teams/3,5,7,1,4,19,St. Louis Blues,/api/v1/teams/19
1997020099,/api/v1/game/1997020099/feed/live,R,19971998,1997-10-19T02:30:00Z,3,6,3,0,6,Boston Bruins,/api/v1/teams/6,0,1,5,0,20,Calgary Flames,/api/v1/teams/20
1997020101,/api/v1/game/1997020101/feed/live,R,19971998,1997-10-19T17:00:00Z,4,5,3,2,5,Pittsburgh Penguins,/api/v1/teams/5,1,2,4,2,13,Florida Panthers,/api/v1/teams/13
1997020102,/api/v1/game/1997020102/feed/live,R,19971998,1997-10-19T19:00:00Z,2,2,5,2,7,Buffalo Sabres,/api/v1/teams/7,5,1,7,2,16,Chicago Blackhawks,/api/v1/teams/16
1997020104,/api/v1/game/1997020104/feed/live,R,19971998,1997-10-19T21:00:00Z,4,5,1,3,21,Colorado Avalanche,/api/v1/teams/21,4,2,3,3,23,Vancouver Canucks,/api/v1/teams/23
1997020100,/api/v1/game/1997020100/feed/live,R,19971998,1997-10-19T23:30:00Z,1,5,3,1,25,Dallas Stars,/api/v1/teams/25,3,5,2,1,9,Ottawa Senators,/api/v1/teams/9
1997020105,/api/v1/game/1997020105/feed/live,R,19971998,1997-10-20T00:00:00Z,3,3,5,1,22,Edmonton Oilers,/api/v1/teams/22,2,2,4,1,26,Los Angeles Kings,/api/v1/teams/26
1997020106,/api/v1/game/1997020106/feed/live,R,19971998,1997-10-20T00:00:00Z,5,3,2,2,2,New York Islanders,/api/v1/teams/2,2,2,3,2,24,Anaheim Ducks,/api/v1/teams/24
1997020103,/api/v1/game/1997020103/feed/live,R,19971998,1997-10-20T02:00:00Z,3,2,6,0,28,San Jose Sharks,/api/v1/teams/28,5,4,2,0,27,Phoenix Coyotes,/api/v1/teams/27
1997020107,/api/v1/game/1997020107/feed/live,R,19971998,1997-10-20T23:30:00Z,2,1,7,2,12,Carolina Hurricanes,/api/v1/teams/12,4,2,3,2,3,New York Rangers,/api/v1/teams/3
1997020108,/api/v1/game/1997020108/feed/live,R,19971998,1997-10-20T23:30:00Z,3,7,1,1,19,St. Louis Blues,/api/v1/teams/19,3,6,1,1,17,Detroit Red Wings,/api/v1/teams/17
1997020109,/api/v1/game/1997020109/feed/live,R,19971998,1997-10-21T23:30:00Z,1,2,6,1,14,Tampa Bay Lightning,/api/v1/teams/14,7,6,3,1,4,Philadelphia Flyers,/api/v1/teams/4
1997020110,/api/v1/game/1997020110/feed/live,R,19971998,1997-10-22T00:30:00Z,5,3,3,2,23,Vancouver Canucks,/api/v1/teams/23,1,5,4,2,25,Dallas Stars,/api/v1/teams/25
1997020112,/api/v1/game/1997020112/feed/live,R,19971998,1997-10-22T01:00:00Z,2,7,3,0,6,Boston Bruins,/api/v1/teams/6,1,3,6,0,22,Edmonton Oilers,/api/v1/teams/22
1997020111,/api/v1/game/1997020111/feed/live,R,19971998,1997-10-22T02:00:00Z,4,3,3,2,24,Anaheim Ducks,/api/v1/teams/24,3,4,3,2,27,Phoenix Coyotes,/api/v1/teams/27
1997020113,/api/v1/game/1997020113/feed/live,R,19971998,1997-10-22T02:30:00Z,2,3,3,2,2,New York Islanders,/api/v1/teams/2,3,3,4,2,26,Los Angeles Kings,/api/v1/teams/26
1997020115,/api/v1/game/1997020115/feed/live,R,19971998,1997-10-22T23:00:00Z,1,1,6,2,20,Calgary Flames,/api/v1/teams/20,4,3,5,2,7,Buffalo Sabres,/api/v1/teams/7
1997020114,/api/v1/game/1997020114/feed/live,R,19971998,1997-10-22T23:30:00Z,3,7,2,1,19,St. Louis Blues,/api/v1/teams/19,4,2,7,1,12,Carolina Hurricanes,/api/v1/teams/12
1997020116,/api/v1/game/1997020116/feed/live,R,19971998,1997-10-22T23:30:00Z,0,2,5,1,13,Florida Panthers,/api/v1/teams/13,3,4,2,1,8,Montréal Canadiens,/api/v1/teams/8
1997020117,/api/v1/game/1997020117/feed/live,R,19971998,1997-10-22T23:30:00Z,1,2,7,0,16,Chicago Blackhawks,/api/v1/teams/16,0,2,4,0,3,New York Rangers,/api/v1/teams/3
1997020118,/api/v1/game/1997020118/feed/live,R,19971998,1997-10-22T23:30:00Z,6,6,2,2,9,Ottawa Senators,/api/v1/teams/9,2,2,6,2,10,Toronto Maple Leafs,/api/v1/teams/10
1997020119,/api/v1/game/1997020119/feed/live,R,19971998,1997-10-23T01:00:00Z,3,7,2,0,15,Washington Capitals,/api/v1/teams/15,4,6,1,0,21,Colorado Avalanche,/api/v1/teams/21
1997020120,/api/v1/game/1997020120/feed/live,R,19971998,1997-10-23T02:30:00Z,5,6,3,2,5,Pittsburgh Penguins,/api/v1/teams/5,2,2,7,2,28,San Jose Sharks,/api/v1/teams/28
