gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
2013020007,/api/v1/game/2013020007/feed/live,R,20132014,2013-10-03T23:00:00Z,1,0,1,,14,Tampa Bay Lightning,/api/v1/teams/14,3,1,0,,6,Boston Bruins,/api/v1/teams/6
2013020008,/api/v1/game/2013020008/feed/live,R,20132014,2013-10-03T23:00:00Z,0,0,1,,1,New Jersey Devils,/api/v1/teams/1,3,1,0,,5,Pittsburgh Penguins,/api/v1/teams/5
2013020009,/api/v1/game/2013020009/feed/live,R,20132014,2013-10-03T23:00:00Z,4,0,0,,20,Calgary Flames,/api/v1/teams/20,5,1,1,,15,Washington Capitals,/api/v1/teams/15
2013020011,/api/v1/game/2013020011/feed/live,R,20132014,2013-10-04T00:00:00Z,3,1,0,,26,Los Angeles Kings,/api/v1/teams/26,2,0,0,,30,Minnesota Wild,/api/v1/teams/30
2013020010,/api/v1/game/2013020010/feed/live,R,20132014,2013-10-04T00:30:00Z,2,0,1,,18,Nashville Predators,/api/v1/teams/18,4,1,0,,19,St. Louis Blues,/api/v1/teams/19
2013020012,/api/v1/game/2013020012/feed/live,R,20132014,2013-10-04T00:30:00Z,4,1,0,,13,Florida Panthers,/api/v1/teams/13,2,0,1,,25,Dallas Stars,/api/v1/teams/25
2013020013,/api/v1/game/2013020013/feed/live,R,20132014,2013-10-04T02:00:00Z,1,0,1,,3,New York Rangers,/api/v1/teams/3,4,1,0,,27,Phoenix Coyotes,/api/v1/teams/27
2013020014,/api/v1/game/2013020014/feed/live,R,20132014,2013-10-04T02:00:00Z,1,0,1,,23,Vancouver Canucks,/api/v1/teams/23,4,1,0,,28,San Jose Sharks,/api/v1/teams/28
2013020015,/api/v1/game/2013020015/feed/live,R,20132014,2013-10-04T23:00:00Z,1,1,0,,9,Ottawa Senators,/api/v1/teams/9,0,0,2,,7,Buffalo Sabres,/api/v1/teams/7
2013020016,/api/v1/game/2013020016/feed/live,R,20132014,2013-10-04T23:00:00Z,4,1,0,,2,New York Islanders,/api/v1/teams/2,3,0,1,,1,New Jersey Devils,/api/v1/teams/1
2013020017,/api/v1/game/2013020017/feed/live,R,20132014,2013-10-04T23:00:00Z,3,2,0,,17,Detroit Red Wings,/api/v1/teams/17,2,0,0,,12,Carolina Hurricanes,/api/v1/teams/12
2013020018,/api/v1/game/2013020018/feed/live,R,20132014,2013-10-04T23:00:00Z,4,1,0,,20,Calgary Flames,/api/v1/teams/20,3,0,1,,29,Columbus Blue Jackets,/api/v1/teams/29
2013020019,/api/v1/game/2013020019/feed/live,R,20132014,2013-10-05T00:00:00Z,3,1,1,,26,Los Angeles Kings,/api/v1/teams/26,5,2,0,,52,Winnipeg Jets,/api/v1/teams/52
2013020020,/api/v1/game/2013020020/feed/live,R,20132014,2013-10-05T01:00:00Z,1,0,2,,18,Nashville Predators,/api/v1/teams/18,3,2,0,,21,Colorado Avalanche,/api/v1/teams/21
2013020021,/api/v1/game/2013020021/feed/live,R,20132014,2013-10-05T23:00:00Z,1,2,1,,17,Detroit Red Wings,/api/v1/teams/17,4,2,0,,6,Boston Bruins,/api/v1/teams/6
2013020022,/api/v1/game/2013020022/feed/live,R,20132014,2013-10-05T23:00:00Z,4,1,0,,9,Ottawa Senators,/api/v1/teams/9,5,3,0,,10,Toronto Maple Leafs,/api/v1/teams/10
2013020023,/api/v1/game/2013020023/feed/live,R,20132014,2013-10-05T23:00:00Z,1,0,2,,4,Philadelphia Flyers,/api/v1/teams/4,4,1,1,,8,Montréal Canadiens,/api/v1/teams/8
2013020024,/api/v1/game/2013020024/feed/live,R,20132014,2013-10-05T23:00:00Z,3,1,1,,29,Columbus Blue Jackets,/api/v1/teams/29,2,1,0,,2,New York Islanders,/api/v1/teams/2
2013020025,/api/v1/game/2013020025/feed/live,R,20132014,2013-10-05T23:00:00Z,1,0,3,,7,Buffalo Sabres,/api/v1/teams/7,4,2,0,,5,Pittsburgh Penguins,/api/v1/teams/5
2013020026,/api/v1/game/2013020026/feed/live,R,20132014,2013-10-06T00:00:00Z,3,1,1,,14,Tampa Bay Lightning,/api/v1/teams/14,2,1,0,,16,Chicago Blackhawks,/api/v1/teams/16
2013020027,/api/v1/game/2013020027/feed/live,R,20132014,2013-10-06T00:00:00Z,0,1,1,,13,Florida Panthers,/api/v1/teams/13,7,2,0,,19,St. Louis Blues,/api/v1/teams/19
2013020028,/api/v1/game/2013020028/feed/live,R,20132014,2013-10-06T00:00:00Z,1,1,2,,15,Washington Capitals,/api/v1/teams/15,2,1,1,,25,Dallas Stars,/api/v1/teams/25
2013020029,/api/v1/game/2013020029/feed/live,R,20132014,2013-10-06T00:00:00Z,4,1,1,,24,Anaheim Ducks,/api/v1/teams/24,3,0,0,,30,Minnesota Wild,/api/v1/teams/30
