gamePk,link,gameType,season,gameDate,awayGamePoints,awaywins,awaylosses,awayties,awayid,awayname,awaylink,homeGamePoints,homewins,homelosses,hometies,homeid,homename,homelink
1982020002,/api/v1/game/1982020002/feed/live,R,19821983,1982-10-06T00:00:00Z,3,0,0,1,5,Pittsburgh Penguins,/api/v1/teams/5,3,0,0,1,1,New Jersey Devils,/api/v1/teams/1
1982020003,/api/v1/game/1982020003/feed/live,R,19821983,1982-10-06T02:00:00Z,5,0,1,0,20,Calgary Flames,/api/v1/teams/20,7,1,0,0,22,Edmonton Oilers,/api/v1/teams/22
1982020001,/api/v1/game/1982020001/feed/live,R,19821983,1982-10-06T03:00:00Z,1,0,1,0,2,New York Islanders,/api/v1/teams/2,2,1,0,0,23,Vancouver Canucks,/api/v1/teams/23
1982020004,/api/v1/game/1982020004/feed/live,R,19821983,1982-10-07T00:00:00Z,1,0,1,0,34,Hartford Whalers,/api/v1/teams/34,2,1,0,0,8,Montréal Canadiens,/api/v1/teams/8
1982020005,/api/v1/game/1982020005/feed/live,R,19821983,1982-10-07T00:00:00Z,6,1,0,0,32,Quebec Nordiques,/api/v1/teams/32,4,0,1,0,7,Buffalo Sabres,/api/v1/teams/7
1982020006,/api/v1/game/1982020006/feed/live,R,19821983,1982-10-07T00:00:00Z,5,1,0,0,15,Washington Capitals,/api/v1/teams/15,4,0,1,0,3,New York Rangers,/api/v1/teams/3
1982020008,/api/v1/game/1982020008/feed/live,R,19821983,1982-10-07T00:00:00Z,2,1,0,0,19,St. Louis Blues,/api/v1/teams/19,1,0,1,0,17,Detroit Red Wings,/api/v1/teams/17
1982020007,/api/v1/game/1982020007/feed/live,R,19821983,1982-10-07T01:00:00Z,3,0,0,1,10,Toronto Maple Leafs,/api/v1/teams/10,3,0,0,1,16,Chicago Blackhawks,/api/v1/teams/16
1982020009,/api/v1/game/1982020009/feed/live,R,19821983,1982-10-07T01:00:00Z,5,1,0,0,31,Minnesota North Stars,/api/v1/teams/31,4,0,1,0,33,Winnipeg Jets (1979),/api/v1/teams/33
1982020010,/api/v1/game/1982020010/feed/live,R,19821983,1982-10-07T03:00:00Z,3,1,0,1,23,Vancouver Canucks,/api/v1/teams/23,3,0,0,1,26,Los Angeles Kings,/api/v1/teams/26
1982020011,/api/v1/game/1982020011/feed/live,R,19821983,1982-10-08T00:00:00Z,5,2,0,0,8,Montréal Canadiens,/api/v1/teams/8,1,0,1,0,6,Boston Bruins,/api/v1/teams/6
1982020012,/api/v1/game/1982020012/feed/live,R,19821983,1982-10-08T00:00:00Z,5,1,1,0,32,Quebec Nordiques,/api/v1/teams/32,9,1,0,0,4,Philadelphia Flyers,/api/v1/teams/4
1982020014,/api/v1/game/1982020014/feed/live,R,19821983,1982-10-08T01:00:00Z,2,0,1,1,10,Toronto Maple Leafs,/api/v1/teams/10,3,2,0,1,19,St. Louis Blues,/api/v1/teams/19
1982020013,/api/v1/game/1982020013/feed/live,R,19821983,1982-10-08T02:00:00Z,5,1,1,0,2,New York Islanders,/api/v1/teams/2,4,0,2,0,20,Calgary Flames,/api/v1/teams/20
1982020016,/api/v1/game/1982020016/feed/live,R,19821983,1982-10-09T00:00:00Z,2,0,2,0,3,New York Rangers,/api/v1/teams/3,3,1,0,0,1,New Jersey Devils,/api/v1/teams/1
1982020017,/api/v1/game/1982020017/feed/live,R,19821983,1982-10-09T01:00:00Z,3,0,1,1,17,Detroit Red Wings,/api/v1/teams/17,3,1,0,1,31,Minnesota North Stars,/api/v1/teams/31
1982020015,/api/v1/game/1982020015/feed/live,R,19821983,1982-10-09T02:00:00Z,6,2,1,0,2,New York Islanders,/api/v1/teams/2,4,1,1,0,22,Edmonton Oilers,/api/v1/teams/22
1982020018,/api/v1/game/1982020018/feed/live,R,19821983,1982-10-10T00:00:00Z,5,1,1,0,6,Boston Bruins,/api/v1/teams/6,4,0,2,0,34,Hartford Whalers,/api/v1/teams/34
1982020019,/api/v1/game/1982020019/feed/live,R,19821983,1982-10-10T00:00:00Z,4,0,2,0,7,Buffalo Sabres,/api/v1/teams/7,6,2,1,0,32,Quebec Nordiques,/api/v1/teams/32
1982020020,/api/v1/game/1982020020/feed/live,R,19821983,1982-10-10T00:00:00Z,8,1,0,1,16,Chicago Blackhawks,/api/v1/teams/16,7,2,1,1,8,Montréal Canadiens,/api/v1/teams/8
1982020021,/api/v1/game/1982020021/feed/live,R,19821983,1982-10-10T00:00:00Z,5,1,2,0,3,New York Rangers,/api/v1/teams/3,3,0,1,0,5,Pittsburgh Penguins,/api/v1/teams/5
1982020022,/api/v1/game/1982020022/feed/live,R,19821983,1982-10-10T00:00:00Z,3,2,0,0,4,Philadelphia Flyers,/api/v1/teams/4,2,1,1,0,15,Washington Capitals,/api/v1/teams/15
1982020023,/api/v1/game/1982020023/feed/live,R,19821983,1982-10-10T00:00:00Z,5,1,0,2,1,New Jersey Devils,/api/v1/teams/1,5,0,1,2,10,Toronto Maple Leafs,/api/v1/teams/10
1982020024,/api/v1/game/1982020024/feed/live,R,19821983,1982-10-10T00:00:00Z,8,1,1,0,33,Winnipeg Jets (1979),/api/v1/teams/33,0,0,2,0,17,Detroit Red Wings,/api/v1/teams/17
1982020025,/api/v1/game/1982020025/feed/live,R,19821983,1982-10-10T01:00:00Z,6,2,0,1,31,Minnesota North Stars,/api/v1/teams/31,3,2,1,1,19,St. Louis Blues,/api/v1/teams/19
1982020026,/api/v1/game/1982020026/feed/live,R,19821983,1982-10-10T03:00:00Z,1,0,3,0,20,Calgary Flames,/api/v1/teams/20,3,1,0,0,26,Los Angeles Kings,/api/v1/teams/26
1982020027,/api/v1/game/1982020027/feed/live,R,19821983,1982-10-10T03:00:00Z,6,2,1,0,22,Edmonton Oilers,/api/v1/teams/22,3,1,1,0,23,Vancouver Canucks,/api/v1/teams/23
1982020028,/api/v1/game/1982020028/feed/live,R,19821983,1982-10-11T00:00:00Z,3,0,2,1,5,Pittsburgh Penguins,/api/v1/teams/5,4,2,1,1,6,Boston Bruins,/api/v1/teams/6
1982020029,/api/v1/game/1982020029/feed/live,R,19821983,1982-10-11T00:00:00Z,4,0,2,1,34,Hartford Whalers,/api/v1/teams/34,4,0,2,1,7,Buffalo Sabres,/api/v1/teams/7
1982020030,/api/v1/game/1982020030/feed/live,R,19821983,1982-10-11T00:00:00Z,4,1,2,0,15,Washington Capitals,/api/v1/teams/15,6,3,0,0,4,Philadelphia Flyers,/api/v1/teams/4
1982020031,/api/v1/game/1982020031/feed/live,R,19821983,1982-10-11T01:00:00Z,5,2,1,0,33,Winnipeg Jets (1979),/api/v1/teams/33,3,1,1,0,16,Chicago Blackhawks,/api/v1/teams/16
1982020032,/api/v1/game/1982020032/feed/live,R,19821983,1982-10-12T00:00:00Z,4,3,1,0,8,Montréal Canadiens,/api/v1/teams/8,3,2,2,0,32,Quebec Nordiques,/api/v1/teams/32
1982020033,/api/v1/game/1982020033/feed/live,R,19821983,1982-10-12T00:00:00Z,4,3,1,0,2,New York Islanders,/api/v1/teams/2,3,1,3,0,3,New York Rangers,/api/v1/teams/3
1982020034,/api/v1/game/1982020034/feed/live,R,19821983,1982-10-13T00:00:00Z,2,2,1,1,6,Boston Bruins,/api/v1/teams/6,2,1,0,1,1,New Jersey Devils,/api/v1/teams/1
